raw,clean
can_be_fed,can be fed
can_live_for_a_long_time_without_food,can live for a long time without food
doesn't_herd,doesn't herd
Indians_or_Afrikan,Indians or Afrikan
is_coloured,is coloured
is_not_a_pet,is not a pet
is_spectacular,is spectacular
lives_in_distant_countries,lives in distant countries
smaller_than_a_horse,smaller than a horse
can_do_without_water_for_long_periods,can do without water for long periods
doesn't_have_1000_paws,doesn't have 1000 paws
has_a_head,has a head
has_a_mouth,has a mouth
is_found_mainly_in_southern_countries,is found mainly in southern countries
lives_in_the_primaeval_forest,lives in the primaeval forest
neutral_scent,neutral scent
has_a_tongue,has a tongue
has_black_eyes,has black eyes
has_round_eyes,has round eyes
lives_on_the_ground,lives on the ground
wild_animal,wild animal
you_can_boil_it,you can boil it
fragile,fragile
lives_in_the_open_air,lives in the open air
lives_outdoors,lives outdoors
is_found_in_warm_places,is found in warm places
drinks_water,drinks water
is_eaten_by_other_animals,is eaten by other animals
is_found_on_animals,is found on animals
doesn't_sting,doesn't sting
prey,prey
can_be_caught,can be caught
exists_for_ages,exists for ages
is_not_eaten,is not eaten
lives_in_America,lives in America
communicates_with_its_congeners,communicates with its congeners
makes_not_much_noise,makes not much noise
occurs_frequently,occurs frequently
can_be_aggressive,can be aggressive
is_cold-blooded,is cold-blooded
does_not_migrate_in_the_winter,does not migrate in the winter
eats_small_animals,eats small animals
sheds_its_skin,sheds its skin
shy,shy
can_be_bred,can be bred
lives_in_the_jungle,lives in the jungle
lives_on_land__,lives on land
has_eyes,has eyes
has_teeth,has teeth
does_not_taste_well,does not taste well
has_short_paws,has short paws
has_two_eyes,has two eyes
can't_fly,can't fly
lives_in_nature,lives in nature
lives_in_grass,lives in grass
lives_in_tropical_areas,lives in tropical areas
dark_colour,dark colour
is_ugly,is ugly
eats_worms,eats worms
lives_nearby_the_water,lives nearby the water
lives_in_the_wild,lives in the wild
bites,bites
exists_in_different_sizes_and_kinds,exists in different sizes and kinds
is_green-brown,is green-brown
lives_in_warm_countries,lives in warm countries
is_a_carnivore,is a carnivore
eats_plants,eats plants
lives_in_Africa,lives in Africa
there_are_many_kinds_of_it,there are many kinds of it
eats_insects,eats insects
builds_nests,builds nests
is_a_reptile,is a reptile
can_swim,can swim
has_scales,has scales
lives_in_the_zoo,lives in the zoo
has_a_tail,has a tail
lays_eggs,lays eggs
is_an_animal,is an animal
both_large_and_small,both large and small
bought_in_a_store,bought in a store
can_be_dishwashed,can be dishwashed
can_be_seen_on_television,can be seen on television
can_be_used_several_times,can be used several times
can_become_dirty,can become dirty
can_break,can break
can_sink,can sink
comes_in_different_brands_and_models,comes in different brands and models
comes_in_very_handy,comes in very handy
constitutes_a_whole,constitutes a whole
costs_money,costs money
especially_used_by_boys,especially used by boys
exists_in_different_brands,exists in different brands
exists_in_different_colors,exists in different colors
exists_in_different_colors_and_different_forms,exists in different colors and different forms
exists_in_different_forms,exists in different forms
exists_in_different_kinds,exists in different kinds
exists_in_different_measurements,exists in different measurements
exists_in_different_sizes,exists in different sizes
exists_in_different_sizes.1,exists in different sizes.1
exists_in_different_types,exists in different types
has_a_plain_color,has a plain color
has_no_roof,has no roof
has_no_smell,has no smell
has_no_taste,has no taste
implement/tool,implement/tool
is_a_handtool,is a handtool
is_a_piece_of_equipment,is a piece of equipment
is_a_tool,is a tool
is_an_object,is an object
is_available_for_each_price_range,is available for each price range
is_durable,is durable
is_easy_to_work_with,is easy to work with
is_efficient,is efficient
is_for_1_person,is for 1 person
is_for_at_least_1_person,is for at least 1 person
is_for_few_persons,is for few persons
is_for_sturdy_guys,is for sturdy guys
is_found_in_a_workplace,is found in a workplace
is_functional,is functional
is_hard,is hard
is_hard_to_iron,is hard to iron
is_invented_by_man,is invented by man
is_lifeless,is lifeless
is_made_in_a_factory,is made in a factory
is_not_edible,is not edible
is_not_for_children,is not for children
is_not_sexy,is not sexy
is_odourless,is odourless
is_smaller_than_a_lorry,is smaller than a lorry
is_useful,is useful
needs_to_be_cleaned_sometimes,needs to be cleaned sometimes
not_everyone_has_it,not everyone has it
