target,alligator,caiman,crocodile,boa python,cobra,snake,blindworm,chameleon,gecko,lizard,salamander,toad,tortoise,turtle,axe,chisel,hammer,saw
alligator,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
caiman,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crocodile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boa python,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
cobra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snake,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
blindworm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chameleon,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
gecko,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
lizard,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
salamander,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
toad,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
tortoise,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
axe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
chisel,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
hammer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
saw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
