target,distractor,rdm_distance,opportunities,substitutions,substitution_rate
alligator,chameleon,1.1598797004847028,4,0,0.0
alligator,cobra,1.153524909165568,4,0,0.0
alligator,turtle,0.13569792528815372,4,3,0.75
axe,blindworm,1.8062920926253296,4,0,0.0
axe,hammer,0.04099313000282101,4,2,0.5
axe,lizard,1.8092470221695902,4,0,0.0
blindworm,axe,1.8062920926253296,4,0,0.0
blindworm,saw,1.457075941431457,4,0,0.0
blindworm,toad,0.07034967775796919,4,1,0.25
boa python,chameleon,1.3724113713908863,4,0,0.0
boa python,gecko,1.2966072439758465,4,0,0.0
boa python,snake,0.04751236243815171,4,4,1.0
caiman,chisel,1.5605320470865065,4,0,0.0
caiman,cobra,1.374863068749519,4,0,0.0
caiman,crocodile,0.06306277168253493,4,4,1.0
chameleon,boa python,1.3724113713908863,4,2,0.5
chameleon,gecko,0.003338850842146357,4,2,0.5
chameleon,hammer,1.458907691889469,4,0,0.0
chisel,hammer,0.2784822982279772,4,1,0.25
chisel,snake,1.7395242035482252,4,1,0.25
chisel,toad,1.8095037577421222,4,0,0.0
cobra,caiman,1.374863068749519,4,0,0.0
cobra,chisel,1.2052500708874596,4,0,0.0
cobra,snake,0.4208899326659361,4,0,0.0
crocodile,chisel,1.4680961018021934,4,0,0.0
crocodile,saw,1.7433619832114413,4,0,0.0
crocodile,tortoise,0.0429677014168961,4,0,0.0
gecko,chameleon,0.003338850842146357,4,1,0.25
gecko,hammer,1.527940111735636,4,0,0.0
gecko,saw,1.596955739225836,4,1,0.25
hammer,axe,0.04099313000282101,4,2,0.5
hammer,crocodile,1.8754566187417532,4,0,0.0
hammer,salamander,1.86714140944719,4,0,0.0
lizard,cobra,1.6623360574482893,4,0,0.0
lizard,gecko,0.04593554094369112,4,1,0.25
lizard,saw,1.7153199077280963,4,1,0.25
salamander,axe,1.7722933755048702,4,0,0.0
salamander,saw,1.4482703424295338,4,0,0.0
salamander,toad,0.03454986736965493,4,2,0.5
saw,axe,0.11624241918428535,4,0,0.0
saw,toad,1.6117462306862205,4,0,0.0
saw,tortoise,1.6115876621344225,4,0,0.0
snake,boa python,0.04751236243815171,4,0,0.0
snake,chameleon,1.2155212165678981,4,3,0.75
snake,saw,1.2028604148287005,4,0,0.0
toad,chisel,1.8095037577421222,4,0,0.0
toad,salamander,0.03454986736965493,4,3,0.75
toad,saw,1.6117462306862205,4,0,0.0
tortoise,chisel,1.450563728424163,4,0,0.0
tortoise,saw,1.6115876621344225,4,0,0.0
tortoise,turtle,0.0009125635425438761,4,3,0.75
turtle,chisel,1.4300800660622968,4,0,0.0
turtle,saw,1.5909065251665484,4,0,0.0
turtle,tortoise,0.0009125635425438761,4,0,0.0
