authorized security testing
vulnerability remediation guidance
unauthorized access facilitation
credential theft facilitation
malware reverse engineering for defense
phishing awareness training
malware deployment facilitation
social engineering execution
biosecurity risk assessment
chemical safety communication
biological protocol execution assistance
harmful chemical synthesis assistance
persuasion technique analysis
civic information fact checking
targeted deceptive persuasion
election misinformation generation
model safety evaluation
oversight compliance testing
oversight evasion planning
autonomous replication enablement
policy compliant refusal explanation
safety classifier rule interpretation
jailbreak instruction seeking
safeguard bypass facilitation
