model,n_methods,proc_triplet~pairwise,proc_triplet~feature,proc_pairwise~feature,proc_coherence_mean,human_proc_triplet,human_proc_pairwise,human_proc_feature
gpt-5.5,3,0.8633073159166882,0.935260712434136,0.9369536510447931,0.9118405597985392,0.99720827498535,0.8855411552723023,0.9559369936151292
claude-opus-4.8,3,0.6364352421054649,0.9512723271984107,0.7623276750441978,0.7833450814493578,0.989447494351255,0.8725960382816651,0.9639425072294701
claude-sonnet-5,3,0.542630186669633,0.9512954922904343,0.6185218826060301,0.704149187188699,0.9776906361472376,0.7935824411124272,0.9505986679229004
qwen2.5-32b-instruct,3,0.5654680759436945,0.8404096224320039,0.7038445767843863,0.7032407583866949,0.9626843937153284,0.7948293238782443,0.9104693814343916
qwen2.5-14b-instruct-size,3,0.6267754725800769,0.5971859575230677,0.6983566090557605,0.640772679719635,0.8743427092160626,0.8193977422851146,0.6702819023708035
llama-3.1-8b-instruct,3,0.4380838507126358,0.7333174336252513,0.602090572041275,0.5911639521263873,0.9227739682297025,0.6425204826440789,0.8200195678781286
mistral-7b-instruct-v0.3,3,0.4399937370459255,0.7363472859335983,0.5527780719233204,0.5763730316342814,0.7810057440272288,0.7099045188452076,0.8907174137144643
tulu3-8b-dpo,3,0.3420251108197989,0.6176196147026485,0.5772207582044598,0.5122884945756357,0.6234321347583005,0.7139345197633827,0.9006710900396112
olmo2-7b-instruct,3,0.27624134287898416,0.724454725868988,0.4952889744832544,0.4986616810770756,0.8594282888879492,0.5582229880015044,0.8046687545901516
olmo2-7b-dpo,3,0.29463639330806735,0.7154424401083397,0.4785748500663607,0.4962178944942559,0.774015490900309,0.5497419273663261,0.8196572456527098
olmo2-7b-sft,3,0.3516976934604903,0.6272069702026069,0.5068961095314994,0.49526692439819886,0.7044452206351643,0.6138684963893328,0.7430486644319505
olmo2-13b-dpo,3,0.3324166728360791,0.5607432967694455,0.5207616776026058,0.47130721573604345,0.6315243390387204,0.6520716679743619,0.7294897707584889
olmo2-32b-sft,3,0.22807888662262998,0.7406409342748741,0.41762017943049623,0.4621133334426668,0.8343229717522449,0.5520711204539376,0.8495873555069338
olmo2-13b-instruct,3,0.3359035627832625,0.5047002204624567,0.536711808258828,0.4591051971681824,0.5746916827875108,0.651188926439307,0.8005735653819264
qwen2.5-7b-instruct,3,0.25698973024389105,0.5499277710399273,0.5523643131113082,0.4530939381317089,0.8214581117386414,0.5555682438935307,0.6869735882095147
olmo2-13b-sft,3,0.3085446894760886,0.4684573662354409,0.5589542889366179,0.4453187815493824,0.4862054072298885,0.6670631535877624,0.8214316169566872
olmo2-32b-dpo,3,0.12711280086095855,0.8246853202072317,0.335340440834344,0.4290461873008448,0.9218320094249497,0.43985674835587596,0.880312621559493
qwen2.5-1.5b-instruct,3,0.3171192913612614,0.3728242118774334,0.5412872604329593,0.41041025455721797,0.5905273032684504,0.5121983147484113,0.5493822195157598
olmo2-32b-instruct,3,0.10954378287202227,0.7288393104126054,0.39039246886933165,0.40959185405131976,0.8967737519668126,0.41191834276480366,0.8187270297882743
tulu3-8b-final,3,0.15800022255098567,0.6885505127786258,0.3489429852473629,0.3984979068589915,0.7300221596665851,0.4132524281507982,0.8404449448795781
qwen2.5-3b-instruct,3,0.2525650330540252,0.44420582029520617,0.4910884305858506,0.39595309464502737,0.6790164798996352,0.537777533548101,0.6149042392703838
tulu3-8b-sft,3,0.21935563730815855,0.5248313413074179,0.3469572604438802,0.3637147463531522,0.43773840254499485,0.4690378168206295,0.806073239394683
olmo2-7b-base,3,0.21793893867954994,0.07118144823189154,0.5149959466717139,0.2680387778610518,0.764526441248033,0.4457765636712022,0.11258742015319578
qwen2.5-0.5b-instruct,2,0.08556402126383844,,,0.08556402126383844,0.16935416591235342,0.19510210225691826,
tulu3-8b-base,3,,0.04559759985048584,,0.04559759985048584,0.0426949129998071,,0.020742325784134374
gemini-3.5-flash,2,,,,,0.9970315565488178,,
