concept,in_fmri,primary_overlap
accordion,0,0
acorn,1,1
airplane,1,1
aloe,1,1
ant,1,1
anteater,1,1
antelope,1,1
anvil,1,1
apple,1,1
artichoke,1,1
asparagus,1,1
avocado,1,1
axe,1,1
bagel,1,1
bagpipe,0,0
bamboo,1,1
banana,1,1
banjo,0,0
barrel,1,1
basket,1,1
bassoon,0,0
bat,0,0
bazooka,0,0
bean,1,1
bear,1,1
beaver,1,1
bed,1,1
bee,1,1
beet,1,1
beetle,1,1
bell,1,1
belt,0,0
bench,1,1
bird,1,1
bison,1,1
blackberry,1,1
blender,1,1
blouse,0,0
blowtorch,1,1
blueberry,1,1
boa,1,1
boar,1,1
bottle,1,1
bra,0,0
bread,1,1
broccoli,1,1
brownie,1,1
brussels sprouts,0,0
bucket,1,1
burner,1,1
burrito,1,1
bus,1,1
butterfly,1,1
cabbage,1,1
cactus,1,1
cake,1,1
camel,1,1
can opener,0,0
candelabra,1,1
candle,1,1
candy,1,1
cannon,1,1
car,1,1
carriage,0,0
carrot,1,1
cart,0,0
cat,1,1
caterpillar,1,1
cauliflower,1,1
celery,1,1
cello,0,0
cheese,1,1
cheetah,1,1
cherry,1,1
chicken,0,0
chili,1,1
chinchilla,1,1
chisel,0,0
chocolate,1,1
clarinet,1,1
coat,1,1
cockroach,1,1
coconut,1,1
corkscrew,1,1
corn,1,1
costume,0,0
cranberry,1,1
crow,0,0
crowbar,1,1
dagger,0,0
dragonfly,1,1
dress,1,1
drill,1,1
drum,1,1
duck,0,0
eagle,0,0
earwig,1,1
eggbeater,1,1
fern,1,1
fig,1,1
file,0,0
flute,0,0
fly,0,0
fruit,0,0
gong,0,0
grasshopper,1,1
grenade,1,1
gun,1,1
hat,0,0
jeans,1,1
jeep,0,0
missile,1,1
motorcycle,1,1
ostrich,0,0
owl,0,0
pants,0,0
parrot,0,0
peacock,0,0
pelican,0,0
penguin,1,1
rifle,1,1
scooter,0,0
skateboard,0,0
sled,0,0
slingshot,1,1
spear,0,0
tree,1,1
tumbleweed,1,1
