subject,region,n_concepts,n_voxels,arm,layer,layer_name,rsa_spearman,selection
01,Early Visual,90,6507,base,30,layer_30,0.07497192682616793,best_mean_subjects
01,Early Visual,90,6507,scrambled,6,layer_6,0.0600436098986027,best_mean_subjects
01,Early Visual,90,6507,lowLR,30,layer_30,0.07384792484670757,best_mean_subjects
01,Early Visual,90,6507,lowrank,7,layer_7,0.07982595339256977,best_mean_subjects
01,Early Visual,90,6507,taskvec_a0p25,30,layer_30,0.0732342939268506,best_mean_subjects
01,Early Visual,90,6507,taskvec_a0p5,7,layer_7,0.07739386292231182,best_mean_subjects
01,Early Visual,90,6507,taskvec_a1p0,9,layer_9,0.07459588024078367,best_mean_subjects
01,Ventral Visual,90,4404,base,31,layer_31,0.2359474542222892,best_mean_subjects
01,Ventral Visual,90,4404,scrambled,7,layer_7,0.15274499154970583,best_mean_subjects
01,Ventral Visual,90,4404,lowLR,6,layer_6,0.2311575913078154,best_mean_subjects
01,Ventral Visual,90,4404,lowrank,6,layer_6,0.23086371651052723,best_mean_subjects
01,Ventral Visual,90,4404,taskvec_a0p25,6,layer_6,0.22799507574872616,best_mean_subjects
01,Ventral Visual,90,4404,taskvec_a0p5,6,layer_6,0.23043135069533674,best_mean_subjects
01,Ventral Visual,90,4404,taskvec_a1p0,7,layer_7,0.21414236781074167,best_mean_subjects
01,Dorsal Visual,90,2173,base,26,layer_26,0.08145565086165422,best_mean_subjects
01,Dorsal Visual,90,2173,scrambled,29,layer_29,0.04671649617545381,best_mean_subjects
01,Dorsal Visual,90,2173,lowLR,30,layer_30,0.0720790401611866,best_mean_subjects
01,Dorsal Visual,90,2173,lowrank,30,layer_30,0.07392545842455248,best_mean_subjects
01,Dorsal Visual,90,2173,taskvec_a0p25,26,layer_26,0.07845476581529806,best_mean_subjects
01,Dorsal Visual,90,2173,taskvec_a0p5,25,layer_25,0.0764098205716677,best_mean_subjects
01,Dorsal Visual,90,2173,taskvec_a1p0,6,layer_6,0.07335447680996773,best_mean_subjects
01,Language,90,6784,base,26,layer_26,0.02642453348641258,best_mean_subjects
01,Language,90,6784,scrambled,29,layer_29,0.002996032951661307,best_mean_subjects
01,Language,90,6784,lowLR,32,layer_32,0.015293194448618616,best_mean_subjects
01,Language,90,6784,lowrank,32,layer_32,0.015124977415810828,best_mean_subjects
01,Language,90,6784,taskvec_a0p25,29,layer_29,0.024110145960516475,best_mean_subjects
01,Language,90,6784,taskvec_a0p5,30,layer_30,0.022612767121846202,best_mean_subjects
01,Language,90,6784,taskvec_a1p0,30,layer_30,0.010191015975036573,best_mean_subjects
01,ATL (Semantic),90,8204,base,30,layer_30,0.04225928502771665,best_mean_subjects
01,ATL (Semantic),90,8204,scrambled,29,layer_29,0.02715785115219671,best_mean_subjects
01,ATL (Semantic),90,8204,lowLR,31,layer_31,0.038132120926468734,best_mean_subjects
