subject,region,n_concepts,n_voxels,arm,layer,layer_name,rsa_spearman
01,Early Visual,90,6507,base,0,embedding,0.03486323018103823
01,Early Visual,90,6507,base,1,layer_1,0.02491762044511572
01,Early Visual,90,6507,base,2,layer_2,0.032188175660607464
01,Early Visual,90,6507,base,3,layer_3,0.05442670739669062
01,Early Visual,90,6507,base,4,layer_4,0.06480231218460952
01,Early Visual,90,6507,base,5,layer_5,0.07031662244461025
01,Early Visual,90,6507,base,6,layer_6,0.07122779333788663
01,Early Visual,90,6507,base,7,layer_7,0.07207926506675014
01,Early Visual,90,6507,base,8,layer_8,0.06215726472588371
01,Early Visual,90,6507,base,9,layer_9,0.06288815008656595
01,Early Visual,90,6507,base,10,layer_10,0.06417789495083666
01,Early Visual,90,6507,base,11,layer_11,0.060331777810615744
01,Early Visual,90,6507,base,12,layer_12,0.057759703614516905
01,Early Visual,90,6507,base,13,layer_13,0.05611228026201072
01,Early Visual,90,6507,base,14,layer_14,0.054332980431473145
01,Early Visual,90,6507,base,15,layer_15,0.056383081877985596
01,Early Visual,90,6507,base,16,layer_16,0.056668426888938826
01,Early Visual,90,6507,base,17,layer_17,0.06015872306660843
01,Early Visual,90,6507,base,18,layer_18,0.06434477020900757
01,Early Visual,90,6507,base,19,layer_19,0.06674401904983
01,Early Visual,90,6507,base,20,layer_20,0.06553063709632229
01,Early Visual,90,6507,base,21,layer_21,0.07061733724772874
01,Early Visual,90,6507,base,22,layer_22,0.07218986947596281
01,Early Visual,90,6507,base,23,layer_23,0.0720130615736645
01,Early Visual,90,6507,base,24,layer_24,0.07321887444624686
01,Early Visual,90,6507,base,25,layer_25,0.07335253802687483
01,Early Visual,90,6507,base,26,layer_26,0.07539900399823998
01,Early Visual,90,6507,base,27,layer_27,0.07378399749506012
01,Early Visual,90,6507,base,28,layer_28,0.07371015636594795
01,Early Visual,90,6507,base,29,layer_29,0.07392966008638006
01,Early Visual,90,6507,base,30,layer_30,0.07497192682616793
01,Early Visual,90,6507,base,31,layer_31,0.07410114497461007
01,Early Visual,90,6507,base,32,layer_32,0.07081769336028397
01,Early Visual,90,6507,scrambled,0,embedding,0.03486323018103823
01,Early Visual,90,6507,scrambled,1,layer_1,0.02360270969435874
01,Early Visual,90,6507,scrambled,2,layer_2,0.03130527393963701
01,Early Visual,90,6507,scrambled,3,layer_3,0.039711992846897234
01,Early Visual,90,6507,scrambled,4,layer_4,0.04650647323323702
01,Early Visual,90,6507,scrambled,5,layer_5,0.05905661986540668
01,Early Visual,90,6507,scrambled,6,layer_6,0.0600436098986027
01,Early Visual,90,6507,scrambled,7,layer_7,0.05146705142554066
01,Early Visual,90,6507,scrambled,8,layer_8,0.05292578498780432
01,Early Visual,90,6507,scrambled,9,layer_9,0.051133423449107235
01,Early Visual,90,6507,scrambled,10,layer_10,0.048880074247079915
01,Early Visual,90,6507,scrambled,11,layer_11,0.05069124678250316
01,Early Visual,90,6507,scrambled,12,layer_12,0.047645144136362366
01,Early Visual,90,6507,scrambled,13,layer_13,0.045095324756731524
01,Early Visual,90,6507,scrambled,14,layer_14,0.0410317937992718
01,Early Visual,90,6507,scrambled,15,layer_15,0.04329894779445174
01,Early Visual,90,6507,scrambled,16,layer_16,0.040241014816791605
01,Early Visual,90,6507,scrambled,17,layer_17,0.03599954788004175
01,Early Visual,90,6507,scrambled,18,layer_18,0.038383867399893926
01,Early Visual,90,6507,scrambled,19,layer_19,0.04038768499998004
01,Early Visual,90,6507,scrambled,20,layer_20,0.042061911342260484
01,Early Visual,90,6507,scrambled,21,layer_21,0.042011015624191364
01,Early Visual,90,6507,scrambled,22,layer_22,0.04271154620574311
01,Early Visual,90,6507,scrambled,23,layer_23,0.04418941168479782
01,Early Visual,90,6507,scrambled,24,layer_24,0.04591659338696087
01,Early Visual,90,6507,scrambled,25,layer_25,0.04413493074041577
01,Early Visual,90,6507,scrambled,26,layer_26,0.04543948033096333
01,Early Visual,90,6507,scrambled,27,layer_27,0.043446033791414596
01,Early Visual,90,6507,scrambled,28,layer_28,0.044519807671148076
