region,arm,layer_name,n_subjects,mean_rsa_spearman,se_rsa_spearman
ATL (Semantic),base,layer_30,3,0.04810456449683003,0.02070203518253522
ATL (Semantic),lowLR,layer_31,3,0.05306873096649108,0.024089143256906736
ATL (Semantic),lowrank,layer_30,3,0.05385722372040647,0.02694021466675478
ATL (Semantic),scrambled,layer_29,3,0.03775845845213703,0.012150576718780661
ATL (Semantic),taskvec_a0p25,layer_31,3,0.05124868269365008,0.023559840583757482
ATL (Semantic),taskvec_a0p5,layer_30,3,0.05429697051029098,0.02386597241833788
ATL (Semantic),taskvec_a1p0,layer_30,3,0.051815723355043586,0.021564256723515498
Dorsal Visual,base,layer_26,3,0.06321778032302135,0.019150067923369117
Dorsal Visual,lowLR,layer_30,3,0.0602702883680294,0.01994526452828807
Dorsal Visual,lowrank,layer_30,3,0.06248904682041493,0.02211534703740048
Dorsal Visual,scrambled,layer_29,3,0.043891016422668384,0.008007101320794824
Dorsal Visual,taskvec_a0p25,layer_26,3,0.05864251181163454,0.020966729271812014
Dorsal Visual,taskvec_a0p5,layer_25,3,0.055706046642675415,0.020202784789259926
Dorsal Visual,taskvec_a1p0,layer_6,3,0.055211779805226714,0.015531360740413802
EC,base,layer_30,3,0.008549934747716726,0.005541093809886168
EC,lowLR,layer_17,3,0.005080729693249116,0.00783209421457941
EC,lowrank,layer_30,3,0.006358192422354607,0.0091308271011584
EC,scrambled,layer_2,3,0.014630040718436215,0.00387898177919042
EC,taskvec_a0p25,layer_30,3,0.00689988849322882,0.007525940503830768
EC,taskvec_a0p5,layer_30,3,0.004114662041816254,0.009198358604050914
EC,taskvec_a1p0,layer_2,3,0.00696439566785733,0.003948050172189944
Early Visual,base,layer_30,3,0.06788600525523232,0.007194073589564256
Early Visual,lowLR,layer_30,3,0.06817290492900673,0.00946157596180698
Early Visual,lowrank,layer_7,3,0.06674776355311733,0.010968876673650409
Early Visual,scrambled,layer_6,3,0.03738854222454665,0.014269466588612724
Early Visual,taskvec_a0p25,layer_30,3,0.06374731567784685,0.009506162379623428
Early Visual,taskvec_a0p5,layer_7,3,0.06181400933430192,0.011785567664478826
