region,arm,layer,layer_name,model,mean_test_pearson_r,mean_test_spearman_r,mean_test_r2_vs_train_mean,n_subjects,n_test_pairs
ATL (Semantic),base,0,embedding,all_single_formats,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),base,0,embedding,mean_rdm,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),base,0,embedding,mean_repr,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),base,26,layer_26,mean_repr_plus_single_formats,0.02990246463909174,0.018741398746239524,-2.980971822167759e-05,3,765
ATL (Semantic),base,0,embedding,single_feature_listing,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),base,0,embedding,single_pairwise,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),base,16,layer_16,single_triplet,0.02895873552104856,0.018792254643303332,0.00029490252551489515,3,765
ATL (Semantic),lowLR,6,layer_6,all_single_formats,0.04816667802439656,0.030397575714039754,0.00021860566057363418,3,765
ATL (Semantic),lowLR,11,layer_11,mean_rdm,0.029127911671123875,0.020036901796565865,0.00042532162490160896,3,765
ATL (Semantic),lowLR,23,layer_23,mean_repr,0.032173292586752326,0.01849630405750898,0.0012166597219859614,3,765
ATL (Semantic),lowLR,6,layer_6,mean_repr_plus_single_formats,0.054378492868945257,0.038403743108387116,0.0010078175562737712,3,765
ATL (Semantic),lowLR,6,layer_6,single_feature_listing,0.04529974840024666,0.025840067138361362,-0.00015612335237461897,3,765
ATL (Semantic),lowLR,11,layer_11,single_pairwise,0.03376479100156281,0.02669671024352309,0.0008890994993489368,3,765
ATL (Semantic),lowLR,19,layer_19,single_triplet,0.031572009113118464,0.019249171469698793,0.00032863240996646353,3,765
ATL (Semantic),lowrank,19,layer_19,all_single_formats,0.04689171330924635,0.02735476339365368,0.0016007999882695263,3,765
ATL (Semantic),lowrank,8,layer_8,mean_rdm,0.03512626266941677,0.027005347999702296,0.0009564124585512331,3,765
ATL (Semantic),lowrank,21,layer_21,mean_repr,0.03687831383844842,0.026430949762468476,0.0007595158000761234,3,765
ATL (Semantic),lowrank,22,layer_22,mean_repr_plus_single_formats,0.054603541480998996,0.03606952712324934,0.0035734276576599258,3,765
ATL (Semantic),lowrank,6,layer_6,single_feature_listing,0.042066608679649876,0.03385716158156837,2.0026598775091387e-05,3,765
ATL (Semantic),lowrank,8,layer_8,single_pairwise,0.03717405339265229,0.02503322564427372,0.0012219859229878338,3,765
ATL (Semantic),lowrank,19,layer_19,single_triplet,0.041722327067548505,0.029037493179529087,0.0013024799584855733,3,765
ATL (Semantic),scrambled,0,embedding,all_single_formats,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),scrambled,0,embedding,mean_rdm,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),scrambled,0,embedding,mean_repr,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),scrambled,0,embedding,mean_repr_plus_single_formats,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),scrambled,0,embedding,single_feature_listing,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),scrambled,0,embedding,single_pairwise,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),scrambled,0,embedding,single_triplet,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),taskvec_a0p25,21,layer_21,all_single_formats,0.046227025259939665,0.03615752426488345,0.0022853102257784177,3,765
ATL (Semantic),taskvec_a0p25,23,layer_23,mean_rdm,0.041406850026274644,0.028776423377666057,0.0026094544200502647,3,765
ATL (Semantic),taskvec_a0p25,23,layer_23,mean_repr,0.042563452167928666,0.03236244315231868,0.0029737353423833954,3,765
