region,arm,layer,layer_name,model,mean_test_pearson_r,mean_test_spearman_r,mean_test_r2_vs_train_mean,n_subjects,n_test_pairs
ATL (Semantic),base,0,embedding,all_single_formats,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),base,0,embedding,mean_rdm,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),base,0,embedding,mean_repr,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),base,0,embedding,mean_repr_plus_single_formats,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),base,0,embedding,single_feature_listing,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),base,0,embedding,single_pairwise,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),base,0,embedding,single_triplet,0.027887176985594796,0.01764909320908387,0.0,3,765
ATL (Semantic),base,1,layer_1,all_single_formats,-0.01461295583886788,0.0005107122157526593,-0.0048329263811784555,3,765
ATL (Semantic),base,1,layer_1,mean_rdm,-0.004455169195091389,0.00951029398586131,-0.00322387938030666,3,765
ATL (Semantic),base,1,layer_1,mean_repr,-0.007669850370161757,0.008319227790907211,-0.002880948223982401,3,765
ATL (Semantic),base,1,layer_1,mean_repr_plus_single_formats,-0.018596834121474434,-0.002610510391462638,-0.005186883976677696,3,765
ATL (Semantic),base,1,layer_1,single_feature_listing,0.0036897126430958257,-0.0036769028008179477,-0.0016022884962383355,3,765
ATL (Semantic),base,1,layer_1,single_pairwise,-0.0073601234575584075,0.01960300950403081,-0.003065385080623928,3,765
ATL (Semantic),base,1,layer_1,single_triplet,0.0007946728178969686,0.003789166389469863,-0.0022416613975476305,3,765
ATL (Semantic),base,2,layer_2,all_single_formats,-0.008279262327801984,-0.0013374868627477783,-0.004005431893254789,3,765
ATL (Semantic),base,2,layer_2,mean_rdm,-0.012501219893725884,-9.061498735437462e-05,-0.002837970402232104,3,765
ATL (Semantic),base,2,layer_2,mean_repr,-0.01854444994857796,-0.0055655668051444495,-0.0030187584069572004,3,765
ATL (Semantic),base,2,layer_2,mean_repr_plus_single_formats,-0.01052852217776924,0.0023201171436819366,-0.004319404253278629,3,765
ATL (Semantic),base,2,layer_2,single_feature_listing,-0.00013110604906950546,-0.0036780285638239266,-0.0016242523870434826,3,765
ATL (Semantic),base,2,layer_2,single_pairwise,-0.020263893039613814,0.011923152558131145,-0.0034403638787311084,3,765
ATL (Semantic),base,2,layer_2,single_triplet,-0.0034557196145990495,-0.003931530736591201,-0.0019253594938809886,3,765
ATL (Semantic),base,3,layer_3,all_single_formats,-0.0030285797758534635,0.006032910341285776,-0.0032609182964324543,3,765
ATL (Semantic),base,3,layer_3,mean_rdm,-0.006570834398069557,0.004112564149505259,-0.0022412658119763673,3,765
ATL (Semantic),base,3,layer_3,mean_repr,-0.012103815531679128,0.0039023502447060343,-0.0024754946507084727,3,765
ATL (Semantic),base,3,layer_3,mean_repr_plus_single_formats,-0.007242906103292868,-0.0003670434130847077,-0.004206795614704532,3,765
ATL (Semantic),base,3,layer_3,single_feature_listing,0.00423167611671892,0.004204974996892985,-0.0012829764820500393,3,765
ATL (Semantic),base,3,layer_3,single_pairwise,-0.017282918737295542,0.013854675968328178,-0.0027395866345707454,3,765
ATL (Semantic),base,3,layer_3,single_triplet,0.0011641659682672504,-0.0008757364031282295,-0.0015970483889577263,3,765
ATL (Semantic),base,4,layer_4,all_single_formats,-0.013837357095800194,0.004476426835366718,-0.0031335541163569256,3,765
ATL (Semantic),base,4,layer_4,mean_rdm,0.0014179001695490297,0.004296572793220832,-0.0012034648341545662,3,765
