region,arm,model,mean_mid_test_pearson_r,mean_mid_test_spearman_r,mean_mid_test_r2_vs_train_mean,n_subjects,n_layers,n_rows
ATL (Semantic),base,all_single_formats,0.0065416773525796695,0.008805211395752894,-0.0024127205907786965,3,11,33
ATL (Semantic),base,mean_rdm,0.00959233792902046,0.006329540770973352,-0.001375751137662199,3,11,33
ATL (Semantic),base,mean_repr,0.003182727562781402,0.0012206982916237732,-0.0016820968152177972,3,11,33
ATL (Semantic),base,mean_repr_plus_single_formats,-0.004190123790199629,-0.004091512543741193,-0.0036523401070950516,3,11,33
ATL (Semantic),base,single_feature_listing,0.003443436747066064,-0.000137234246727565,-0.001306125827627108,3,11,33
ATL (Semantic),base,single_pairwise,0.009006278210775508,0.020834246594357755,-0.0015033130076776205,3,11,33
ATL (Semantic),base,single_triplet,0.017097814377931845,0.012194199901671993,-0.0007198649123988949,3,11,33
ATL (Semantic),lowLR,all_single_formats,0.012230990755112707,0.002461232267496495,-0.0009902565516968591,3,11,33
ATL (Semantic),lowLR,mean_rdm,0.025175128749761654,0.017279459839091103,-0.0002272586945703654,3,11,33
ATL (Semantic),lowLR,mean_repr,0.028696140477462793,0.019414507555157168,0.0003738704730178287,3,11,33
ATL (Semantic),lowLR,mean_repr_plus_single_formats,0.019453955754376747,0.008748474077385843,8.32322148144293e-05,3,11,33
ATL (Semantic),lowLR,single_feature_listing,0.025037181370689308,0.014301767141705354,0.00030182631220194777,3,11,33
ATL (Semantic),lowLR,single_pairwise,0.018981509938728085,0.011027033834027394,-0.0004373601612039688,3,11,33
ATL (Semantic),lowLR,single_triplet,0.023893226631671764,0.013455400482107601,8.47171515979044e-05,3,11,33
ATL (Semantic),lowrank,all_single_formats,0.021819992641148523,0.012603891538533758,-0.0006606018456474743,3,11,33
ATL (Semantic),lowrank,mean_rdm,0.030847832002718602,0.018815822564935022,2.129831768417314e-06,3,11,33
ATL (Semantic),lowrank,mean_repr,0.033203576688854694,0.0212042043203324,0.0006296430109433805,3,11,33
ATL (Semantic),lowrank,mean_repr_plus_single_formats,0.027440960272442097,0.01642346896170269,0.00048443982955790536,3,11,33
ATL (Semantic),lowrank,single_feature_listing,0.028246910180034047,0.018431865902879516,0.0005772907824806557,3,11,33
ATL (Semantic),lowrank,single_pairwise,0.02675181548943529,0.02062183477130876,-0.0012343169572753595,3,11,33
ATL (Semantic),lowrank,single_triplet,0.03257750230007078,0.020570739263792742,0.0008594647168628099,3,11,33
ATL (Semantic),scrambled,all_single_formats,-0.004628806223332513,0.0031338391128227262,-0.001719687100129896,3,11,33
ATL (Semantic),scrambled,mean_rdm,-0.0023153215511802295,0.003929561057450147,-0.0011525864618835222,3,11,33
ATL (Semantic),scrambled,mean_repr,-0.002254920427929268,0.010982243736479219,-0.0010328287135515251,3,11,33
ATL (Semantic),scrambled,mean_repr_plus_single_formats,0.009276440364831565,0.006395395470106731,-0.0014064802224854926,3,11,33
ATL (Semantic),scrambled,single_feature_listing,-0.028767235079611174,-0.016120309756371486,-0.0021373007045032725,3,11,33
ATL (Semantic),scrambled,single_pairwise,-0.0003968805044719655,0.010818158498805266,-0.0009205257692942112,3,11,33
ATL (Semantic),scrambled,single_triplet,0.009143297451647528,0.008058190478597023,-0.00023731773202196108,3,11,33
ATL (Semantic),taskvec_a0p25,all_single_formats,0.016203371753135524,0.006221949180020138,-0.00042658463278787183,3,11,33
ATL (Semantic),taskvec_a0p25,mean_rdm,0.027508193144675012,0.014234201867614836,0.000716656775608171,3,11,33
ATL (Semantic),taskvec_a0p25,mean_repr,0.027641718143061364,0.015068125840712867,0.001007085267186127,3,11,33
ATL (Semantic),taskvec_a0p25,mean_repr_plus_single_formats,0.02115909719346519,0.012894547139453665,-0.000357174859696895,3,11,33
ATL (Semantic),taskvec_a0p25,single_feature_listing,0.020942738037959572,0.009361959683405226,0.00025216957406917675,3,11,33
ATL (Semantic),taskvec_a0p25,single_pairwise,0.028363915028440056,0.01720834345687494,0.0009233767745501086,3,11,33
ATL (Semantic),taskvec_a0p25,single_triplet,0.024407629916750155,0.008481007082568192,0.0003743175052375381,3,11,33
ATL (Semantic),taskvec_a0p5,all_single_formats,0.020978464912139297,0.00837535836687494,-0.0006474377816962514,3,11,33
