region,arm,mean_repr_pearson,mean_rdm_pearson,best_single_model,best_single_pearson,all_single_formats_pearson,mean_repr_minus_best_single
ATL (Semantic),base,0.003182727562781402,0.00959233792902046,single_triplet,0.017097814377931845,0.0065416773525796695,-0.013915086815150444
ATL (Semantic),lowLR,0.028696140477462793,0.025175128749761654,single_feature_listing,0.025037181370689308,0.012230990755112707,0.0036589591067734857
ATL (Semantic),lowrank,0.033203576688854694,0.030847832002718602,single_triplet,0.03257750230007078,0.021819992641148523,0.0006260743887839121
ATL (Semantic),scrambled,-0.002254920427929268,-0.0023153215511802295,single_triplet,0.009143297451647528,-0.004628806223332513,-0.011398217879576795
ATL (Semantic),taskvec_a0p25,0.027641718143061364,0.027508193144675012,single_pairwise,0.028363915028440056,0.016203371753135524,-0.0007221968853786918
ATL (Semantic),taskvec_a0p5,0.035578487255005724,0.03574115129233549,single_triplet,0.030968627026343606,0.020978464912139297,0.004609860228662117
ATL (Semantic),taskvec_a1p0,0.027302578716519265,0.025501154321618077,single_feature_listing,0.033717493803196004,0.029733355979523618,-0.006414915086676739
Language,base,0.00040727534675876896,0.006061079464221191,single_triplet,0.016767498339960503,0.015706109957457918,-0.016360222993201733
Language,lowLR,0.0510788067772131,0.05108856679355409,single_pairwise,0.04234084455450315,0.033177103087892366,0.00873796222270995
Language,lowrank,0.050271519464289226,0.050598188940216886,single_triplet,0.04875118288162821,0.030749156188945335,0.0015203365826610138
Language,scrambled,-0.009478247240434967,-0.00934042957965089,single_feature_listing,0.008336610306113618,-0.009422259849734467,-0.017814857546548588
Language,taskvec_a0p25,0.03851408926202813,0.03686816792885468,single_feature_listing,0.034013944792294484,0.02121138904048134,0.004500144469733645
Language,taskvec_a0p5,0.051068431477690426,0.047742559017443745,single_pairwise,0.04648042751433825,0.03384218877145245,0.004588003963352176
Language,taskvec_a1p0,0.042211104064827504,0.03244364297196642,single_triplet,0.040634259247673235,0.04895988829210138,0.0015768448171542687
Ventral Visual,base,0.1143869872614977,0.10354925428243546,single_feature_listing,0.11379119689108912,0.10563762297493032,0.0005957903704085776
Ventral Visual,lowLR,0.16232960225328627,0.14437340859190506,single_feature_listing,0.17480996367023063,0.1734665132054917,-0.012480361416944363
Ventral Visual,lowrank,0.17507028550199805,0.16123320986127276,single_feature_listing,0.17423718735533494,0.17717350357959682,0.0008330981466631027
Ventral Visual,scrambled,0.06466767446758331,0.07478796378439506,single_pairwise,0.0698860901433623,0.07428069564773952,-0.005218415675778992
Ventral Visual,taskvec_a0p25,0.16787971159209247,0.157144970888253,single_feature_listing,0.17019810821542702,0.17101376676328298,-0.002318396623334551
Ventral Visual,taskvec_a0p5,0.17071850585668696,0.1559038928488713,single_feature_listing,0.1693295468251937,0.17125197335770706,0.0013889590314932754
Ventral Visual,taskvec_a1p0,0.14123767824096237,0.1264035973986686,single_triplet,0.13952645309669753,0.14377261667286031,0.001711225144264833
