region,rank,arm,model,layer,pearson_r,base_same_model_layer_pearson_r,delta_vs_same_model_layer_base
Ventral Visual,1,taskvec_a0p25,single_feature_listing,18,0.20342465305458593,0.12435090817584199,0.07907374487874394
Ventral Visual,2,taskvec_a0p25,mean_repr_plus_single_formats,18,0.20256102386906746,0.1325008292680243,0.07006019460104315
Ventral Visual,3,taskvec_a0p25,all_single_formats,18,0.20207362161959017,0.11281376544587829,0.08925985617371188
Ventral Visual,4,lowrank,single_feature_listing,18,0.2010487974133699,0.12435090817584199,0.0766978892375279
Ventral Visual,5,taskvec_a0p25,mean_repr_plus_single_formats,19,0.1987014024610102,0.13299281457217135,0.06570858788883885
Ventral Visual,6,taskvec_a0p25,all_single_formats,19,0.19786574805062437,0.10764951860065453,0.09021622944996985
Ventral Visual,7,lowrank,single_feature_listing,19,0.19781123410205867,0.11579696092174803,0.08201427318031064
Ventral Visual,8,taskvec_a0p25,mean_repr,18,0.19758392684671847,0.11178323807127867,0.0858006887754398
ATL (Semantic),1,taskvec_a0p5,single_pairwise,23,0.05646553621510245,0.02050117556876931,0.03596436064633314
ATL (Semantic),2,taskvec_a0p5,single_pairwise,25,0.05639195652325449,0.02114670403713193,0.035245252486122564
ATL (Semantic),3,taskvec_a0p5,mean_repr_plus_single_formats,28,0.05465131578415643,0.013154785731591581,0.04149653005256485
ATL (Semantic),4,lowrank,mean_repr_plus_single_formats,22,0.054603541480998996,-0.011168604980968652,0.06577214646196765
ATL (Semantic),5,lowLR,mean_repr_plus_single_formats,6,0.054378492868945257,-0.013747680381666459,0.06812617325061171
ATL (Semantic),6,taskvec_a0p5,mean_repr_plus_single_formats,27,0.05430786297496867,0.015906888194102384,0.03840097478086628
ATL (Semantic),7,taskvec_a0p5,single_pairwise,26,0.053690395800635206,0.020956527944911773,0.032733867855723436
ATL (Semantic),8,taskvec_a0p5,mean_repr_plus_single_formats,29,0.05290762030199397,0.003980295763165617,0.04892732453882835
Language,1,taskvec_a1p0,mean_repr_plus_single_formats,18,0.076466658550213,0.032073862141858284,0.04439279640835471
Language,2,taskvec_a1p0,mean_repr_plus_single_formats,19,0.07158311655269099,0.030614214718391347,0.040968901834299645
Language,3,lowrank,mean_repr_plus_single_formats,23,0.07057707881805624,0.019692677219113355,0.05088440159894288
Language,4,lowrank,mean_repr_plus_single_formats,22,0.06952268136157883,0.009136745710200626,0.0603859356513782
Language,5,lowLR,mean_repr_plus_single_formats,23,0.06882906041160379,0.019692677219113355,0.04913638319249043
Language,6,lowLR,mean_repr_plus_single_formats,27,0.0687254009745931,0.030287127206167233,0.038438273768425874
Language,7,taskvec_a1p0,mean_repr_plus_single_formats,20,0.06870088533533014,0.025674627411051056,0.04302625792427908
Language,8,lowrank,all_single_formats,23,0.06840392736716151,0.04032808550936456,0.028075841857796956
