region,arm,mean_repr_pearson,base_mean_repr_pearson,delta_vs_base,mean_repr_minus_best_single,n_subjects_positive,n_subjects,delta_subject_01,delta_subject_02,delta_subject_03
Ventral Visual,base,0.1143869872614977,0.1143869872614977,0.0,0.0005957903704085776,0,3,0.0,0.0,0.0
Ventral Visual,lowLR,0.16232960225328627,0.1143869872614977,0.047942614991788576,-0.012480361416944363,2,3,0.09050521491368865,0.05488726111049547,-0.00156463104881846
Ventral Visual,lowrank,0.17507028550199805,0.1143869872614977,0.06068329824050035,0.0008330981466631027,2,3,0.10613712992654484,0.07940771409588332,-0.0034949493009271276
Ventral Visual,taskvec_a0p25,0.16787971159209247,0.1143869872614977,0.05349272433059478,-0.002318396623334551,3,3,0.08200658666337776,0.07605252078940394,0.002419065539002535
Ventral Visual,taskvec_a0p5,0.17071850585668696,0.1143869872614977,0.05633151859518927,0.0013889590314932754,2,3,0.09189629520476916,0.08050165309499235,-0.003403392514193679
Ventral Visual,taskvec_a1p0,0.14123767824096237,0.1143869872614977,0.026850690979464673,0.001711225144264833,2,3,0.06570681223741845,0.033848879370826784,-0.01900361866985123
Ventral Visual,scrambled,0.06466767446758331,0.1143869872614977,-0.04971931279391438,-0.005218415675778992,0,3,-0.03776167598146579,-0.0917173192477253,-0.01967894315255206
ATL (Semantic),base,0.003182727562781402,0.003182727562781402,0.0,-0.013915086815150444,0,3,0.0,0.0,0.0
ATL (Semantic),lowLR,0.028696140477462793,0.003182727562781402,0.025513412914681392,0.0036589591067734857,2,3,0.04966722966366016,0.04206655270068457,-0.015193543620300556
ATL (Semantic),lowrank,0.033203576688854694,0.003182727562781402,0.030020849126073293,0.0006260743887839121,2,3,0.05334961009240274,0.04706600525523209,-0.010353067969414952
ATL (Semantic),taskvec_a0p25,0.027641718143061364,0.003182727562781402,0.024458990580279963,-0.0007221968853786918,2,3,0.04214172532949298,0.056515180951799665,-0.025279934540452756
ATL (Semantic),taskvec_a0p5,0.035578487255005724,0.003182727562781402,0.03239575969222432,0.004609860228662117,2,3,0.056401250244034085,0.05842132526177192,-0.017635296429133026
ATL (Semantic),taskvec_a1p0,0.027302578716519265,0.003182727562781402,0.024119851153737864,-0.006414915086676739,2,3,0.053007595875810595,0.02679658228112804,-0.007444624695725041
ATL (Semantic),scrambled,-0.002254920427929268,0.003182727562781402,-0.00543764799071067,-0.011398217879576795,1,3,0.0027034446690647543,-0.009762109121949728,-0.00925427951924704
Language,base,0.00040727534675876896,0.00040727534675876896,0.0,-0.016360222993201733,0,3,0.0,0.0,0.0
Language,lowLR,0.0510788067772131,0.00040727534675876896,0.05067153143045433,0.00873796222270995,3,3,0.0898517690151649,0.04765606457335682,0.014506760702841261
Language,lowrank,0.050271519464289226,0.00040727534675876896,0.04986424411753046,0.0015203365826610138,3,3,0.0979823966455172,0.04907302698436368,0.0025373087227105124
Language,taskvec_a0p25,0.03851408926202813,0.00040727534675876896,0.038106813915269364,0.004500144469733645,2,3,0.07770989410073391,0.04245312959349544,-0.005842581948421282
Language,taskvec_a0p5,0.051068431477690426,0.00040727534675876896,0.05066115613093166,0.004588003963352176,2,3,0.10480033265406197,0.048930159290174385,-0.0017470235514413738
Language,taskvec_a1p0,0.042211104064827504,0.00040727534675876896,0.04180382871806874,0.0015768448171542687,2,3,0.1026872423236371,0.023929268299227553,-0.0012050244686584496
Language,scrambled,-0.009478247240434967,0.00040727534675876896,-0.009885522587193737,-0.017814857546548588,1,3,-0.004289785063994682,-0.03204562515031954,0.00667884245273302
