region,arm,layer_name,n_subjects,mean_rsa_spearman,se_rsa_spearman,n_concepts,formats,best_layer,best_layer_name,best_cross_format_rdm_spearman,best_linear_cka,best_retrieval_top1,best_retrieval_top5,best_concept_minus_format_alignment,mid_layer_start,mid_layer_end,mid_cross_format_rdm_spearman,mid_linear_cka,mid_retrieval_top1,mid_retrieval_top5,mid_concept_minus_format_alignment,base_mean_rsa_spearman,mean_rsa_delta_vs_base
ATL (Semantic),base,layer_30,3,0.04810456449683,0.0207020351825352,128,"triplet,pairwise,feature_listing",3,layer_3,0.6281042769928376,0.6001794735590616,0.0182291666666666,0.1223958333333333,-0.8558664787560701,10,20,0.3229568784016629,0.3889826156876304,0.0191761363636363,0.0800189393939393,-0.967289013534107,0.04810456449683,0.0
ATL (Semantic),lowLR,layer_31,3,0.053068730966491,0.0240891432569067,128,"triplet,pairwise,feature_listing",8,layer_8,0.8734227105916541,0.9529805580774944,0.0455729166666666,0.2317708333333333,-0.9655651575885712,10,20,0.6211392833568842,0.6899302466349169,0.0729166666666666,0.3063446969696969,-0.9303763908418742,0.04810456449683,0.004964166469660997
ATL (Semantic),lowrank,layer_30,3,0.0538572237204064,0.0269402146667547,128,"triplet,pairwise,feature_listing",8,layer_8,0.8785470708437854,0.9476561546325684,0.1028645833333333,0.359375,-0.9684438789263368,10,20,0.6636738605675485,0.7466792175264069,0.0968276515151515,0.407907196969697,-0.9310713747346944,0.04810456449683,0.005752659223576394
ATL (Semantic),scrambled,layer_29,3,0.037758458452137,0.0121505767187806,128,"triplet,pairwise,feature_listing",4,layer_4,0.6796956667687993,0.440745602051417,0.1276041666666666,0.3046875,-0.875843895599246,10,20,0.3471955904669872,0.4600809758359735,0.109375,0.2666903409090909,-0.8651859365742315,0.04810456449683,-0.010346106044693
ATL (Semantic),taskvec_a0p25,layer_31,3,0.05124868269365,0.0235598405837574,128,"triplet,pairwise,feature_listing",11,layer_11,0.8239249870534996,0.8783366084098816,0.078125,0.2395833333333333,-0.913195832632482,10,20,0.676997994075692,0.7808645593397544,0.2062026515151515,0.5392992424242423,-0.8716299812394109,0.04810456449683,0.003144118196819999
ATL (Semantic),taskvec_a0p5,layer_30,3,0.0542969705102909,0.0238659724183378,128,"triplet,pairwise,feature_listing",11,layer_11,0.8064476586447115,0.901366929213206,0.2083333333333333,0.5234375,-0.8402984514832497,10,20,0.6372132719747771,0.7464240373987139,0.1577888257575757,0.4744318181818181,-0.8434505520219152,0.04810456449683,0.006192406013460897
ATL (Semantic),taskvec_a1p0,layer_30,3,0.0518157233550435,0.0215642567235154,128,"triplet,pairwise,feature_listing",7,layer_7,0.7567880709637492,0.8899276653925577,0.234375,0.58203125,-0.7158977389335632,10,20,0.4867208733837115,0.5504800514741377,0.0636837121212121,0.1896306818181818,-0.7862517591565847,0.04810456449683,0.0037111588582134994
Dorsal Visual,base,layer_26,3,0.0632177803230213,0.0191500679233691,128,"triplet,pairwise,feature_listing",3,layer_3,0.6281042769928376,0.6001794735590616,0.0182291666666666,0.1223958333333333,-0.8558664787560701,10,20,0.3229568784016629,0.3889826156876304,0.0191761363636363,0.0800189393939393,-0.967289013534107,0.0632177803230213,0.0
Dorsal Visual,lowLR,layer_30,3,0.0602702883680294,0.019945264528288,128,"triplet,pairwise,feature_listing",8,layer_8,0.8734227105916541,0.9529805580774944,0.0455729166666666,0.2317708333333333,-0.9655651575885712,10,20,0.6211392833568842,0.6899302466349169,0.0729166666666666,0.3063446969696969,-0.9303763908418742,0.0632177803230213,-0.0029474919549919085
Dorsal Visual,lowrank,layer_30,3,0.0624890468204149,0.0221153470374004,128,"triplet,pairwise,feature_listing",8,layer_8,0.8785470708437854,0.9476561546325684,0.1028645833333333,0.359375,-0.9684438789263368,10,20,0.6636738605675485,0.7466792175264069,0.0968276515151515,0.407907196969697,-0.9310713747346944,0.0632177803230213,-0.0007287335026064032
Dorsal Visual,scrambled,layer_29,3,0.0438910164226683,0.0080071013207948,128,"triplet,pairwise,feature_listing",4,layer_4,0.6796956667687993,0.440745602051417,0.1276041666666666,0.3046875,-0.875843895599246,10,20,0.3471955904669872,0.4600809758359735,0.109375,0.2666903409090909,-0.8651859365742315,0.0632177803230213,-0.019326763900353004
Dorsal Visual,taskvec_a0p25,layer_26,3,0.0586425118116345,0.020966729271812,128,"triplet,pairwise,feature_listing",11,layer_11,0.8239249870534996,0.8783366084098816,0.078125,0.2395833333333333,-0.913195832632482,10,20,0.676997994075692,0.7808645593397544,0.2062026515151515,0.5392992424242423,-0.8716299812394109,0.0632177803230213,-0.004575268511386808
Dorsal Visual,taskvec_a0p5,layer_25,3,0.0557060466426754,0.0202027847892599,128,"triplet,pairwise,feature_listing",11,layer_11,0.8064476586447115,0.901366929213206,0.2083333333333333,0.5234375,-0.8402984514832497,10,20,0.6372132719747771,0.7464240373987139,0.1577888257575757,0.4744318181818181,-0.8434505520219152,0.0632177803230213,-0.007511733680345904
Dorsal Visual,taskvec_a1p0,layer_6,3,0.0552117798052267,0.0155313607404138,128,"triplet,pairwise,feature_listing",7,layer_7,0.7567880709637492,0.8899276653925577,0.234375,0.58203125,-0.7158977389335632,10,20,0.4867208733837115,0.5504800514741377,0.0636837121212121,0.1896306818181818,-0.7862517591565847,0.0632177803230213,-0.008006000517794605
EC,base,layer_30,3,0.0085499347477167,0.0055410938098861,128,"triplet,pairwise,feature_listing",3,layer_3,0.6281042769928376,0.6001794735590616,0.0182291666666666,0.1223958333333333,-0.8558664787560701,10,20,0.3229568784016629,0.3889826156876304,0.0191761363636363,0.0800189393939393,-0.967289013534107,0.0085499347477167,0.0
EC,lowLR,layer_17,3,0.0050807296932491,0.0078320942145794,128,"triplet,pairwise,feature_listing",8,layer_8,0.8734227105916541,0.9529805580774944,0.0455729166666666,0.2317708333333333,-0.9655651575885712,10,20,0.6211392833568842,0.6899302466349169,0.0729166666666666,0.3063446969696969,-0.9303763908418742,0.0085499347477167,-0.0034692050544676
