analysis,target,hub_metric,n,spearman_r,spearman_p,pearson_r,pearson_p,region
arm_layer_raw,rsa_spearman_mean,cross_format_rdm_spearman,224,-0.20706918641896224,0.001835543526693118,-0.19359232540274715,0.003628392134752448,ATL (Semantic)
arm_layer_raw,rsa_spearman_mean,linear_cka,224,0.18766282297672437,0.00483168409669245,0.2079698164976321,0.001751150852592334,ATL (Semantic)
arm_layer_raw,rsa_spearman_mean,retrieval_top1,224,0.37550071266042706,6.542675225384539e-09,0.34035139922457674,1.768496916801127e-07,ATL (Semantic)
arm_layer_raw,rsa_spearman_mean,retrieval_top5,224,0.500563483662394,1.3144512646277135e-15,0.49206625197466325,4.628537378726557e-15,ATL (Semantic)
arm_layer_raw,rsa_spearman_mean,concept_minus_format_alignment,224,0.21735639547298743,0.001059899243002522,0.18211473857752541,0.006270523630666937,ATL (Semantic)
arm_layer_delta_vs_base,rsa_delta_vs_base,cross_format_rdm_spearman_delta_vs_base,192,0.30602501152917566,1.5835203206987377e-05,0.3546714448215126,4.477795050067839e-07,ATL (Semantic)
arm_layer_delta_vs_base,rsa_delta_vs_base,linear_cka_delta_vs_base,192,0.24015442313430813,0.0007931167393225385,0.27707249830902425,9.999401141398577e-05,ATL (Semantic)
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top1_delta_vs_base,192,-0.16378520694215132,0.02320722841145771,-0.14150049976167195,0.050259709423024164,ATL (Semantic)
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top5_delta_vs_base,192,0.00397506113296688,0.9563610534289889,0.004779661820731217,0.9475395747791585,ATL (Semantic)
arm_layer_delta_vs_base,rsa_delta_vs_base,concept_minus_format_alignment_delta_vs_base,192,0.11875729050809757,0.10087738719411628,0.029684666723988173,0.6827400428089476,ATL (Semantic)
arm_layer_raw,rsa_spearman_mean,cross_format_rdm_spearman,224,-0.04311445654494983,0.5208949111839343,0.015963452240230463,0.8121932682990869,Dorsal Visual
arm_layer_raw,rsa_spearman_mean,linear_cka,224,0.26833546871663466,4.732213577245414e-05,0.30814389235339246,2.5893264551923293e-06,Dorsal Visual
arm_layer_raw,rsa_spearman_mean,retrieval_top1,224,0.2694376068676944,4.391978081196158e-05,0.26167927720672757,7.375509982972049e-05,Dorsal Visual
arm_layer_raw,rsa_spearman_mean,retrieval_top5,224,0.4588219216299735,4.62012305311459e-13,0.43810474138620115,6.388165161539508e-12,Dorsal Visual
arm_layer_raw,rsa_spearman_mean,concept_minus_format_alignment,224,-0.03167734358317318,0.6372344882770501,-0.007607182025737118,0.9098573051998486,Dorsal Visual
arm_layer_delta_vs_base,rsa_delta_vs_base,cross_format_rdm_spearman_delta_vs_base,192,0.34127885684833037,1.2708928688980827e-06,0.4419211537085701,1.3909065410876927e-10,Dorsal Visual
arm_layer_delta_vs_base,rsa_delta_vs_base,linear_cka_delta_vs_base,192,0.1351321107885956,0.06165072903421025,0.20198140659279604,0.004962218814815653,Dorsal Visual
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top1_delta_vs_base,192,-0.1543411795436505,0.03255950373024889,-0.06092673667574705,0.40119267660509306,Dorsal Visual
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top5_delta_vs_base,192,-0.023245926919830413,0.7489342774071571,0.03709481096587021,0.6094769517074002,Dorsal Visual
arm_layer_delta_vs_base,rsa_delta_vs_base,concept_minus_format_alignment_delta_vs_base,192,-0.42872087187694985,5.506641045946221e-10,-0.3213125324394295,5.51318988293201e-06,Dorsal Visual
arm_layer_raw,rsa_spearman_mean,cross_format_rdm_spearman,224,-0.22299914584667951,0.0007757657313699774,-0.18009085364625427,0.00688400376950573,EC
arm_layer_raw,rsa_spearman_mean,linear_cka,224,-0.19384048686739272,0.003584523698071302,-0.1717419066451318,0.010018826193969451,EC
arm_layer_raw,rsa_spearman_mean,retrieval_top1,224,0.11998026805989069,0.0731116611363861,0.10782060027753938,0.10753376375372918,EC
arm_layer_raw,rsa_spearman_mean,retrieval_top5,224,0.1454097308023462,0.029578106911939697,0.13582913300629906,0.0422597906503079,EC
arm_layer_raw,rsa_spearman_mean,concept_minus_format_alignment,224,-0.10637732222934018,0.11235174582806796,-0.09279635041558582,0.16633806610470558,EC
arm_layer_delta_vs_base,rsa_delta_vs_base,cross_format_rdm_spearman_delta_vs_base,192,-0.15492329707294578,0.03190220885855858,-0.19295307042199955,0.007330981590460969,EC
arm_layer_delta_vs_base,rsa_delta_vs_base,linear_cka_delta_vs_base,192,-0.34857275587987957,7.24388446369982e-07,-0.424745968568757,8.238592409264695e-10,EC
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top1_delta_vs_base,192,-0.1975955032354198,0.00601020465047208,-0.130027274811674,0.07224284266367635,EC
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top5_delta_vs_base,192,-0.2248846965339708,0.0017126101634142063,-0.2019554664368048,0.004967901484860003,EC
arm_layer_delta_vs_base,rsa_delta_vs_base,concept_minus_format_alignment_delta_vs_base,192,-0.41633887638011013,1.89891537350574e-09,-0.3975916090297874,1.1272303962122334e-08,EC
arm_layer_raw,rsa_spearman_mean,cross_format_rdm_spearman,224,0.16409246209694645,0.013937853584102556,0.18397172320678656,0.005751132080773082,Early Visual
arm_layer_raw,rsa_spearman_mean,linear_cka,224,0.3678977151398677,1.3812849698420488e-08,0.3994686514329674,5.451166390156724e-10,Early Visual
arm_layer_raw,rsa_spearman_mean,retrieval_top1,224,0.0985327400654707,0.14155309984603034,0.14464309447060547,0.030456579108585548,Early Visual
arm_layer_raw,rsa_spearman_mean,retrieval_top5,224,0.25504479311019096,0.00011346521698183926,0.2857751169459791,1.3984889273949785e-05,Early Visual
arm_layer_raw,rsa_spearman_mean,concept_minus_format_alignment,224,-0.22415759128763615,0.0007269232383367871,-0.14479596680093793,0.030279650551442997,Early Visual
arm_layer_delta_vs_base,rsa_delta_vs_base,cross_format_rdm_spearman_delta_vs_base,192,0.3554546564305673,4.2064625138506245e-07,0.4259932635838598,7.264308787192011e-10,Early Visual
arm_layer_delta_vs_base,rsa_delta_vs_base,linear_cka_delta_vs_base,192,0.14650021701977595,0.04259453872445976,0.19297096477919762,0.007325430259523567,Early Visual
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top1_delta_vs_base,192,-0.21667176037375604,0.002539212229060178,-0.10102909969933432,0.1632182625060998,Early Visual
