region,arm,layer,layer_name,rsa_spearman_mean,rsa_spearman_se,n_subjects,n_concepts,cross_format_rdm_spearman,linear_cka,retrieval_top1,retrieval_top5,concept_minus_format_alignment,base_rsa_spearman_mean,base_cross_format_rdm_spearman,base_linear_cka,base_retrieval_top1,base_retrieval_top5,base_concept_minus_format_alignment,rsa_delta_vs_base,cross_format_rdm_spearman_delta_vs_base,linear_cka_delta_vs_base,retrieval_top1_delta_vs_base,retrieval_top5_delta_vs_base,concept_minus_format_alignment_delta_vs_base
ATL (Semantic),base,0,embedding,0.028579971461428533,0.018463286768371084,3,90,,,0.0078125,0.0390625,-4.21464712019315e-08,0.028579971461428533,,,0.0078125,0.0390625,-4.21464712019315e-08,0.0,,,0.0,0.0,0.0
ATL (Semantic),base,1,layer_1,0.026386228619395668,0.014464785894283792,3,90,0.5920686348291746,0.5480239391326904,0.0143229166666666,0.09765625,-0.8184196553193033,0.026386228619395668,0.5920686348291746,0.5480239391326904,0.0143229166666666,0.09765625,-0.8184196553193033,0.0,0.0,0.0,0.0,0.0,0.0
ATL (Semantic),base,2,layer_2,0.02935835663766233,0.013819956239727349,3,90,0.609874863710572,0.5821682016054789,0.0182291666666666,0.0950520833333333,-0.832064030924812,0.02935835663766233,0.609874863710572,0.5821682016054789,0.0182291666666666,0.0950520833333333,-0.832064030924812,0.0,0.0,0.0,0.0,0.0,0.0
ATL (Semantic),base,3,layer_3,0.0392310838557199,0.01987809495891798,3,90,0.6281042769928376,0.6001794735590616,0.0182291666666666,0.1223958333333333,-0.8558664787560701,0.0392310838557199,0.6281042769928376,0.6001794735590616,0.0182291666666666,0.1223958333333333,-0.8558664787560701,0.0,0.0,0.0,0.0,0.0,0.0
ATL (Semantic),base,4,layer_4,0.041369388818439934,0.01758355926745246,3,90,0.5934740792485301,0.5712788005669912,0.0221354166666666,0.1315104166666666,-0.9065810632891952,0.041369388818439934,0.5934740792485301,0.5712788005669912,0.0221354166666666,0.1315104166666666,-0.9065810632891952,0.0,0.0,0.0,0.0,0.0,0.0
ATL (Semantic),base,5,layer_5,0.037604578837672965,0.020942036589496654,3,90,0.5516955903682028,0.5928051074345907,0.03125,0.1080729166666666,-0.9658103217370808,0.037604578837672965,0.5516955903682028,0.5928051074345907,0.03125,0.1080729166666666,-0.9658103217370808,0.0,0.0,0.0,0.0,0.0,0.0
ATL (Semantic),base,6,layer_6,0.04000452568274987,0.020775610268443316,3,90,0.5417631934037848,0.5688189466794332,0.01953125,0.0625,-0.9618418683530764,0.04000452568274987,0.5417631934037848,0.5688189466794332,0.01953125,0.0625,-0.9618418683530764,0.0,0.0,0.0,0.0,0.0,0.0
ATL (Semantic),base,7,layer_7,0.038961597613507336,0.018249007390491134,3,90,0.5053800057563055,0.5630882879098257,0.0169270833333333,0.0755208333333333,-0.9617542009800673,0.038961597613507336,0.5053800057563055,0.5630882879098257,0.0169270833333333,0.0755208333333333,-0.9617542009800673,0.0,0.0,0.0,0.0,0.0,0.0
ATL (Semantic),base,8,layer_8,0.037329591562287434,0.01552957601891123,3,90,0.4983549504494275,0.5576125383377075,0.0143229166666666,0.0703125,-0.9696994114201516,0.037329591562287434,0.4983549504494275,0.5576125383377075,0.0143229166666666,0.0703125,-0.9696994114201516,0.0,0.0,0.0,0.0,0.0,0.0
ATL (Semantic),base,9,layer_9,0.03795267455563523,0.015593975534046811,3,90,0.516973717743805,0.5538837810357412,0.01953125,0.0729166666666666,-0.9122839610790834,0.03795267455563523,0.516973717743805,0.5538837810357412,0.01953125,0.0729166666666666,-0.9122839610790834,0.0,0.0,0.0,0.0,0.0,0.0
ATL (Semantic),base,10,layer_10,0.037996623854915035,0.015354057902611616,3,90,0.4303329732855501,0.4787539144357045,0.0091145833333333,0.0598958333333333,-0.9475824533728884,0.037996623854915035,0.4303329732855501,0.4787539144357045,0.0091145833333333,0.0598958333333333,-0.9475824533728884,0.0,0.0,0.0,0.0,0.0,0.0
ATL (Semantic),base,11,layer_11,0.03668792409669853,0.015189322895997446,3,90,0.3943702836831013,0.4765990277131398,0.0091145833333333,0.05859375,-0.9314776781247928,0.03668792409669853,0.3943702836831013,0.4765990277131398,0.0091145833333333,0.05859375,-0.9314776781247928,0.0,0.0,0.0,0.0,0.0,0.0
