subject,arm,layer,layer_name,alpha,cv_mean_r,fold_scores
UTS01,base,16,layer_16,10.0,-0.0007867861859267578,"[-0.0012119667371734977, -0.00036160563468001783]"
UTS01,base,16,layer_16,16.68100537200059,-0.0010983893880620599,"[-0.0011718797031790018, -0.001024899072945118]"
UTS01,base,16,layer_16,27.825594022071243,-0.0012372331984806806,"[-0.000931998307351023, -0.0015424680896103382]"
UTS01,base,16,layer_16,46.41588833612777,-0.0012392712815199047,"[-0.0005848681903444231, -0.0018936743726953864]"
UTS01,base,16,layer_16,77.4263682681127,-0.001186247362056747,"[-0.0002610434894450009, -0.0021114512346684933]"
UTS01,base,16,layer_16,129.1549665014884,-0.0011276436198386364,"[-1.8412232748232782e-05, -0.00223687500692904]"
UTS01,base,16,layer_16,215.44346900318823,-0.0010754985705716535,"[0.0001476795005146414, -0.0022986766416579485]"
UTS01,base,16,layer_16,359.38136638046257,-0.0010239409166388214,"[0.00026358163449913263, -0.0023114634677767754]"
UTS01,base,16,layer_16,599.4842503189409,-0.0009608144027879462,"[0.0003559526812750846, -0.002277581486850977]"
UTS01,base,16,layer_16,1000.0,-0.0008705503423698246,"[0.0004480133065953851, -0.0021891139913350344]"
UTS01,base,24,layer_24,10.0,-0.0059974591713398695,"[-0.007552447263151407, -0.004442471079528332]"
UTS01,base,24,layer_24,16.68100537200059,-0.00636495603248477,"[-0.007390501443296671, -0.005339410621672869]"
UTS01,base,24,layer_24,27.825594022071243,-0.00647694431245327,"[-0.006996121723204851, -0.005957766901701689]"
UTS01,base,24,layer_24,46.41588833612777,-0.006456474773585796,"[-0.006563046481460333, -0.00634990306571126]"
UTS01,base,24,layer_24,77.4263682681127,-0.006404665298759937,"[-0.006215243134647608, -0.006594087462872267]"
UTS01,base,24,layer_24,129.1549665014884,-0.0063648829236626625,"[-0.005978093016892672, -0.006751672830432653]"
UTS01,base,24,layer_24,215.44346900318823,-0.006346998270601034,"[-0.005830804817378521, -0.006863191723823547]"
UTS01,base,24,layer_24,359.38136638046257,-0.006348881172016263,"[-0.005745846312493086, -0.00695191603153944]"
UTS01,base,24,layer_24,599.4842503189409,-0.0063642519526183605,"[-0.0057013616897165775, -0.0070271422155201435]"
UTS01,base,24,layer_24,1000.0,-0.00638440134935081,"[-0.0056822835467755795, -0.007086519151926041]"
UTS01,base,32,layer_32,10.0,-0.003201320068910718,"[-0.002815656829625368, -0.003586983308196068]"
UTS01,base,32,layer_32,16.68100537200059,-0.0034639500081539154,"[-0.002986169420182705, -0.003941730596125126]"
UTS01,base,32,layer_32,27.825594022071243,-0.003621710930019617,"[-0.003097264561802149, -0.004146157298237085]"
UTS01,base,32,layer_32,46.41588833612777,-0.003741987980902195,"[-0.0032086167484521866, -0.004275359213352203]"
UTS01,base,32,layer_32,77.4263682681127,-0.0038294693222269416,"[-0.0032933761831372976, -0.0043655624613165855]"
UTS01,base,32,layer_32,129.1549665014884,-0.003889972693286836,"[-0.0033420829568058252, -0.004437862429767847]"
