subject,arm,layer,layer_name,train_stories,test_story,alpha,n_train_trs,n_test_trs,n_features,n_voxels,n_finite_voxels,mean_pearson_r,median_pearson_r,p95_pearson_r,frac_positive_r
UTS01,base,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,10.0,307,281,16384,2000,2000,-0.00011722916678991169,-0.001927665201947093,0.10573966801166534,0.4875
UTS01,base,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,10.0,307,281,16384,2000,2000,-0.002959032077342272,-0.004307172726839781,0.10420764982700348,0.473
UTS01,base,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,10.0,307,281,16384,2000,2000,-0.0009091116371564567,-0.0008676124853082001,0.10667204856872559,0.4955
UTS01,lowLR,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,10.0,307,281,16384,2000,2000,-0.001191446091979742,-0.002871994860470295,0.10848177224397659,0.4865
UTS01,lowLR,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,10.0,307,281,16384,2000,2000,-0.0013662610435858369,-0.0022567128762602806,0.1033356711268425,0.4845
UTS01,lowLR,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,10.0,307,281,16384,2000,2000,-0.0026743714697659016,-0.0032208869233727455,0.10112994909286499,0.4765
UTS01,scrambled,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,10.0,307,281,16384,2000,2000,0.00016902160132303834,-0.0008806850528344512,0.1021454706788063,0.4925
UTS01,scrambled,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,-0.0011403145035728812,-0.001108420779928565,0.10239318013191223,0.4895
UTS01,scrambled,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,10.0,307,281,16384,2000,2000,-0.002347202505916357,-0.0032207223121076822,0.10152390599250793,0.479
UTS01,taskvec_a0p25,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,0.0005888707819394767,0.0008615290280431509,0.10003097355365753,0.5065
UTS01,taskvec_a0p25,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,10.0,307,281,16384,2000,2000,-0.0036872909404337406,-0.004470879212021828,0.10165973752737045,0.476
UTS01,taskvec_a0p25,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,10.0,307,281,16384,2000,2000,-0.0026968480087816715,-0.00266108475625515,0.10291748493909836,0.4845
