subject,arm,layer,layer_name,train_stories,test_story,alpha,n_train_trs,n_test_trs,n_features,n_voxels,n_finite_voxels,mean_pearson_r,median_pearson_r,p95_pearson_r,frac_positive_r
UTS01,base,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,81126,81126,0.007639712188392878,0.007541429251432419,0.11491609364748001,0.5461257796514064
UTS01,base,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,215.44346900318823,307,281,16384,81126,81126,0.005942314863204956,0.005630778148770332,0.11132070422172546,0.5353647412666716
UTS01,base,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,359.38136638046257,307,281,16384,81126,81126,0.0036369021981954575,0.0033510890789330006,0.10862058401107788,0.521127628627074
UTS01,lowLR,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,81126,81126,0.005227623041719198,0.004983541555702686,0.10974697768688202,0.5312476887804156
UTS01,lowLR,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,215.44346900318823,307,281,16384,81126,81126,0.004544720519334078,0.00431529525667429,0.10905404388904572,0.5277839410300027
UTS01,lowLR,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,129.1549665014884,307,281,16384,81126,81126,-2.409570515737869e-05,-8.841251428748365e-07,0.1042151004076004,0.4999876734955501
UTS01,scrambled,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,129.1549665014884,307,281,16384,81126,81126,0.003553797723725438,0.0031362809240818024,0.10761912167072296,0.520745506989128
UTS01,scrambled,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,129.1549665014884,307,281,16384,81126,81126,0.0053230514749884605,0.0053213369101285934,0.10707232356071472,0.5345142124596307
UTS01,scrambled,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,215.44346900318823,307,281,16384,81126,81126,6.865387695142999e-05,7.344323421420995e-06,0.10214211791753769,0.5000739590266992
UTS01,taskvec_a0p25,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,81126,81126,0.005663043353706598,0.005485187284648418,0.11317367106676102,0.5337992752015384
UTS01,taskvec_a0p25,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,215.44346900318823,307,281,16384,81126,81126,0.004924081265926361,0.004580611363053322,0.11057116091251373,0.5288316939082415
UTS01,taskvec_a0p25,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,599.4842503189409,307,281,16384,81126,81126,0.0014689421514049172,0.0011247745715081692,0.10482525080442429,0.5071123930675739
UTS02,base,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,94251,94251,0.010409302078187466,0.009236658923327923,0.12749767303466797,0.5535750283816617
UTS02,base,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,94251,94251,0.00855961348861456,0.007929435931146145,0.12383411824703217,0.5458934122714878
UTS02,base,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,94251,94251,0.011303114704787731,0.009648236446082592,0.1352533996105194,0.5547739546530011
UTS02,lowLR,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,94251,94251,0.009890935383737087,0.009228319860994816,0.12365103513002396,0.5543707759068869
UTS02,lowLR,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,94251,94251,0.0062044765800237656,0.005845191422849894,0.11993378400802612,0.5340208591951279
UTS02,lowLR,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,94251,94251,0.00458892434835434,0.004108421970158815,0.12315686047077179,0.5232093028190682
UTS02,scrambled,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,10.0,307,281,16384,94251,94251,0.0018853594083338976,0.0020189641509205103,0.10504382848739624,0.5124507962780236
UTS02,scrambled,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,94251,94251,-0.00014390487922355533,7.899024058133364e-05,0.1026664674282074,0.5004615335646306
UTS02,scrambled,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,94251,94251,-0.009166191332042217,-0.00874285213649273,0.09655171632766724,0.44597935300421215
UTS02,taskvec_a0p25,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,94251,94251,0.011036988347768784,0.010018577799201012,0.1280781626701355,0.5575537660077877
UTS02,taskvec_a0p25,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,94251,94251,0.005836245138198137,0.005289813503623009,0.12137337028980255,0.5309970185992722
UTS02,taskvec_a0p25,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,94251,94251,0.005712839774787426,0.004914086777716875,0.12474382668733597,0.5283445268485215
UTS03,base,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,95556,95556,0.011305077001452446,0.010144723579287529,0.12726439535617828,0.5602159989953535
UTS03,base,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,95556,95556,0.009458454325795174,0.008053982630372047,0.12330934405326843,0.5496567457825777
UTS03,base,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,95556,95556,0.007634905632585287,0.006748383864760399,0.12186935544013977,0.5403219054795094
UTS03,lowLR,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,95556,95556,0.009743503294885159,0.008934013545513153,0.1225600391626358,0.5542090501904642
UTS03,lowLR,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,95556,95556,0.00826500728726387,0.006941455416381359,0.1201949268579483,0.5419963162962033
UTS03,lowLR,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,95556,95556,0.005760500207543373,0.005182071588933468,0.11732672154903412,0.5308405542299803
UTS03,scrambled,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,95556,95556,0.009524516761302948,0.0089772529900074,0.11668436229228973,0.5553392774917326
UTS03,scrambled,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,95556,95556,0.005687064025551081,0.005639679729938507,0.10770788788795471,0.5355079743815145
