subject,arm,layer,layer_name,alpha,cv_mean_r,fold_scores
UTS02,base,16,layer_16,10.0,-0.00033963698660954833,"[0.0018006308237090707, -0.0024799047969281673]"
UTS02,base,16,layer_16,16.68100537200059,-0.0008322657813550904,"[0.0002697293821256608, -0.0019342609448358417]"
UTS02,base,16,layer_16,27.825594022071243,-0.0012835897505283356,"[-0.001148080569691956, -0.001419098931364715]"
UTS02,base,16,layer_16,46.41588833612777,-0.001663550443481654,"[-0.002291803015395999, -0.001035297871567309]"
UTS02,base,16,layer_16,77.4263682681127,-0.0019474535947665572,"[-0.0031124174129217863, -0.0007824897766113281]"
UTS02,base,16,layer_16,129.1549665014884,-0.002137394098099321,"[-0.0036562317982316017, -0.0006185563979670405]"
UTS02,base,16,layer_16,215.44346900318823,-0.0022547002299688756,"[-0.00400383397936821, -0.0005055664805695415]"
UTS02,base,16,layer_16,359.38136638046257,-0.0023216293193399906,"[-0.004224446602165699, -0.0004188120365142822]"
UTS02,base,16,layer_16,599.4842503189409,-0.002354924872634001,"[-0.004363322164863348, -0.00034652758040465415]"
UTS02,base,16,layer_16,1000.0,-0.00236603849043604,"[-0.004441312048584223, -0.00029076493228785694]"
UTS02,base,24,layer_24,10.0,-0.0091040157712996,"[-0.00986457895487547, -0.008343452587723732]"
UTS02,base,24,layer_24,16.68100537200059,-0.00928834779188037,"[-0.010997607372701168, -0.00757908821105957]"
UTS02,base,24,layer_24,27.825594022071243,-0.009340925374999642,"[-0.011799204163253307, -0.006882646586745977]"
UTS02,base,24,layer_24,46.41588833612777,-0.009316746843978763,"[-0.01227671466767788, -0.006356779020279646]"
UTS02,base,24,layer_24,77.4263682681127,-0.009273014729842544,"[-0.012546041049063206, -0.0059999884106218815]"
UTS02,base,24,layer_24,129.1549665014884,-0.009239685954526067,"[-0.012714670039713383, -0.005764701869338751]"
UTS02,base,24,layer_24,215.44346900318823,-0.009226700523868203,"[-0.01284987572580576, -0.005603525321930647]"
UTS02,base,24,layer_24,359.38136638046257,-0.009237016085535288,"[-0.012990079820156097, -0.005483952350914478]"
UTS02,base,24,layer_24,599.4842503189409,-0.009272175608202815,"[-0.013154401443898678, -0.005389949772506952]"
UTS02,base,24,layer_24,1000.0,-0.009330992354080081,"[-0.013341166079044342, -0.00532081862911582]"
UTS02,base,32,layer_32,10.0,-0.006264965224545449,"[-0.010630400851368904, -0.001899529597721994]"
UTS02,base,32,layer_32,16.68100537200059,-0.006224692682735622,"[-0.01082589104771614, -0.0016234943177551031]"
UTS02,base,32,layer_32,27.825594022071243,-0.006206862803082913,"[-0.010867128148674965, -0.0015465974574908614]"
UTS02,base,32,layer_32,46.41588833612777,-0.006187551014591008,"[-0.010810078121721745, -0.0015650239074602723]"
UTS02,base,32,layer_32,77.4263682681127,-0.006158110743854195,"[-0.010721885599195957, -0.0015943358885124326]"
UTS02,base,32,layer_32,129.1549665014884,-0.0061323511763475835,"[-0.010663207620382309, -0.001601494732312858]"
UTS02,base,32,layer_32,215.44346900318823,-0.006123373401351273,"[-0.010669199749827385, -0.0015775470528751612]"
UTS02,base,32,layer_32,359.38136638046257,-0.006138722877949476,"[-0.01075525302439928, -0.001522192731499672]"
UTS02,base,32,layer_32,599.4842503189409,-0.0061843511066399515,"[-0.010925764217972755, -0.0014429379953071475]"
UTS02,base,32,layer_32,1000.0,-0.006266656215302646,"[-0.01117159053683281, -0.0013617218937724829]"
UTS02,lowLR,16,layer_16,10.0,-0.0001780961756594479,"[0.0013880362967029214, -0.0017442286480218172]"
UTS02,lowLR,16,layer_16,16.68100537200059,-0.0007334533584071323,"[-0.00035271115484647453, -0.0011141955619677901]"
UTS02,lowLR,16,layer_16,27.825594022071243,-0.0012402744614519179,"[-0.0019417374860495329, -0.0005388114368543029]"
UTS02,lowLR,16,layer_16,46.41588833612777,-0.0016446048139187042,"[-0.003191897412762046, -9.731221507536247e-05]"
UTS02,lowLR,16,layer_16,77.4263682681127,-0.0019210130267310888,"[-0.004056381992995739, 0.00021435593953356147]"
UTS02,lowLR,16,layer_16,129.1549665014884,-0.0020829150162171572,"[-0.00460090721026063, 0.00043507717782631516]"
UTS02,lowLR,16,layer_16,215.44346900318823,-0.002155681577278301,"[-0.0049166022799909115, 0.0006052391254343092]"
UTS02,lowLR,16,layer_16,359.38136638046257,-0.0021565693605225533,"[-0.0050704143941402435, 0.0007572756730951369]"
UTS02,lowLR,16,layer_16,599.4842503189409,-0.0020915592613164335,"[-0.005096149630844593, 0.000913031108211726]"
UTS02,lowLR,16,layer_16,1000.0,-0.001958435808774084,"[-0.004997365176677704, 0.0010804935591295362]"
UTS02,lowLR,24,layer_24,10.0,-0.01028233440592885,"[-0.010658886283636093, -0.009905782528221607]"
UTS02,lowLR,24,layer_24,16.68100537200059,-0.01037204870954156,"[-0.011793629266321659, -0.00895046815276146]"
UTS02,lowLR,24,layer_24,27.825594022071243,-0.010343916714191437,"[-0.012631230987608433, -0.00805660244077444]"
UTS02,lowLR,24,layer_24,46.41588833612777,-0.010266711469739676,"[-0.01315870601683855, -0.0073747169226408005]"
UTS02,lowLR,24,layer_24,77.4263682681127,-0.010180722223594785,"[-0.0134580722078681, -0.00690337223932147]"
UTS02,lowLR,24,layer_24,129.1549665014884,-0.01010190462693572,"[-0.01362571306526661, -0.006578096188604832]"
UTS02,lowLR,24,layer_24,215.44346900318823,-0.010030836798250675,"[-0.013728269375860691, -0.006333404220640659]"
UTS02,lowLR,24,layer_24,359.38136638046257,-0.009961385978385806,"[-0.013801166787743568, -0.006121605169028044]"
UTS02,lowLR,24,layer_24,599.4842503189409,-0.009886200306937099,"[-0.013856467790901661, -0.005915932822972536]"
UTS02,lowLR,24,layer_24,1000.0,-0.009798291604965925,"[-0.013884719461202621, -0.005711863748729229]"
UTS02,lowLR,32,layer_32,10.0,-0.009063271805644035,"[-0.012488383799791336, -0.005638159811496735]"
UTS02,lowLR,32,layer_32,16.68100537200059,-0.009082847274839878,"[-0.01300592627376318, -0.005159768275916576]"
UTS02,lowLR,32,layer_32,27.825594022071243,-0.009046441642567515,"[-0.013258366845548153, -0.004834516439586878]"
UTS02,lowLR,32,layer_32,46.41588833612777,-0.00896613160148263,"[-0.013298595324158669, -0.004633667878806591]"
UTS02,lowLR,32,layer_32,77.4263682681127,-0.008862763876095414,"[-0.013236748054623604, -0.0044887796975672245]"
UTS02,lowLR,32,layer_32,129.1549665014884,-0.008756588213145733,"[-0.013162815012037754, -0.004350361414253712]"
UTS02,lowLR,32,layer_32,215.44346900318823,-0.008654668927192688,"[-0.013121549971401691, -0.0041877878829836845]"
UTS02,lowLR,32,layer_32,359.38136638046257,-0.008554456988349557,"[-0.013124130666255951, -0.003984783310443163]"
UTS02,lowLR,32,layer_32,599.4842503189409,-0.008452344802208245,"[-0.013161396607756615, -0.003743292996659875]"
UTS02,lowLR,32,layer_32,1000.0,-0.008349022595211864,"[-0.013206479139626026, -0.003491566050797701]"
UTS02,scrambled,16,layer_16,10.0,0.0020953554194420576,"[-0.006910750176757574, 0.01110146101564169]"
UTS02,scrambled,16,layer_16,16.68100537200059,0.003379479516297579,"[-0.004742106422781944, 0.011501065455377102]"
UTS02,scrambled,16,layer_16,27.825594022071243,0.004443360376171768,"[-0.00286484626121819, 0.011751567013561726]"
UTS02,scrambled,16,layer_16,46.41588833612777,0.005184014851693064,"[-0.0015379328979179263, 0.011905962601304054]"
UTS02,scrambled,16,layer_16,77.4263682681127,0.005665936914738268,"[-0.0006799494149163365, 0.012011823244392872]"
UTS02,scrambled,16,layer_16,129.1549665014884,0.005996677013172302,"[-0.0001076414919225499, 0.012100995518267155]"
UTS02,scrambled,16,layer_16,215.44346900318823,0.006261426417040639,"[0.00032986499718390405, 0.012192987836897373]"
UTS02,scrambled,16,layer_16,359.38136638046257,0.006519560847664252,"[0.0007412017439492047, 0.0122979199513793]"
UTS02,scrambled,16,layer_16,599.4842503189409,0.006812269799411297,"[0.0012076431885361671, 0.012416896410286427]"
UTS02,scrambled,16,layer_16,1000.0,0.007166349096223712,"[0.001789321657270193, 0.01254337653517723]"
UTS02,scrambled,24,layer_24,10.0,0.004137526266276836,"[-0.003217077814042568, 0.011492130346596241]"
UTS02,scrambled,24,layer_24,16.68100537200059,0.005849848981597461,"[-0.0004083625681232661, 0.012108060531318188]"
UTS02,scrambled,24,layer_24,27.825594022071243,0.007198964303825051,"[0.0019150023581460118, 0.01248292624950409]"
UTS02,scrambled,24,layer_24,46.41588833612777,0.008098757942207158,"[0.0034805622417479753, 0.01271695364266634]"
UTS02,scrambled,24,layer_24,77.4263682681127,0.008669860195368528,"[0.004444734193384647, 0.01289498619735241]"
UTS02,scrambled,24,layer_24,129.1549665014884,0.009063460631296039,"[0.0050512501038610935, 0.013075671158730984]"
UTS02,scrambled,24,layer_24,215.44346900318823,0.00939120096154511,"[0.005481611471623182, 0.013300790451467037]"
UTS02,scrambled,24,layer_24,359.38136638046257,0.009728343226015568,"[0.005855369381606579, 0.013601317070424557]"
UTS02,scrambled,24,layer_24,599.4842503189409,0.010125301778316498,"[0.006255794316530228, 0.013994809240102768]"
UTS02,scrambled,24,layer_24,1000.0,0.01061081700026989,"[0.006743418052792549, 0.01447821594774723]"
UTS02,scrambled,32,layer_32,10.0,-0.0038954264018684626,"[-0.009595012292265892, 0.001804159488528967]"
UTS02,scrambled,32,layer_32,16.68100537200059,-0.0028730491758324206,"[-0.00741927232593298, 0.0016731739742681384]"
UTS02,scrambled,32,layer_32,27.825594022071243,-0.0019630948663689196,"[-0.005471642594784498, 0.001545452862046659]"
UTS02,scrambled,32,layer_32,46.41588833612777,-0.00129188341088593,"[-0.00402102991938591, 0.00143726309761405]"
UTS02,scrambled,32,layer_32,77.4263682681127,-0.0008592373342253268,"[-0.0030556779820472, 0.0013372033135965466]"
