subject,arm,layer,layer_name,train_stories,test_story,alpha,n_train_trs,n_test_trs,n_features,n_voxels,n_finite_voxels,mean_pearson_r,median_pearson_r,p95_pearson_r,frac_positive_r
UTS02,base,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,10.0,307,281,16384,2000,2000,-0.0038351407274603844,-0.004220282658934593,0.10252189636230469,0.4735
UTS02,base,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,10.0,307,281,16384,2000,2000,-0.003455257276073098,-0.0035305561032146215,0.10029646009206772,0.4715
UTS02,base,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,215.44346900318823,307,281,16384,2000,2000,0.0002948825422208756,-0.0013074390590190887,0.10409803688526154,0.4945
UTS02,lowLR,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,10.0,307,281,16384,2000,2000,-0.004267803393304348,-0.004477061331272125,0.10265646129846573,0.4685
UTS02,lowLR,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,0.001215717988088727,0.0015332235489040613,0.10050783306360245,0.5095
UTS02,lowLR,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,-0.0009748852462507784,-0.0012323306873440742,0.1018654853105545,0.494
UTS02,scrambled,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,0.0018702754750847816,0.001317557180300355,0.09935012459754944,0.51
UTS02,scrambled,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,0.0008616020204499364,0.001129847252741456,0.10152171552181244,0.5045
UTS02,scrambled,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,359.38136638046257,307,281,16384,2000,2000,0.0011547827161848545,0.0007611617911607027,0.10197122395038605,0.5065
UTS02,taskvec_a0p25,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,10.0,307,281,16384,2000,2000,-0.003953604958951473,-0.002864437410607934,0.10051844269037247,0.4815
UTS02,taskvec_a0p25,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,10.0,307,281,16384,2000,2000,-0.00414563762024045,-0.005189703777432442,0.09854631870985031,0.4645
UTS02,taskvec_a0p25,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,-0.002407565014436841,-0.0026458061765879393,0.10520709306001663,0.4875
UTS03,base,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,0.015794828534126282,0.01042020134627819,0.1463286429643631,0.57
UTS03,base,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,0.011511038988828659,0.009219372645020485,0.12651711702346802,0.5565
UTS03,base,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,0.011107712984085083,0.009869609028100967,0.12206613272428513,0.56
UTS03,lowLR,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,0.014256048016250134,0.01006400678306818,0.1365974098443985,0.5695
UTS03,lowLR,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,0.009162947535514832,0.007693536579608917,0.12101222574710846,0.538
UTS03,lowLR,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,0.008222307078540325,0.005387358833104372,0.11835896968841553,0.5355
UTS03,scrambled,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,0.004419549368321896,0.0035183453001081944,0.10406023263931274,0.528
UTS03,scrambled,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,215.44346900318823,307,281,16384,2000,2000,0.00319097051396966,0.0027674175798892975,0.10197681933641434,0.5155
UTS03,scrambled,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,0.0013121513184159994,8.372418233193457e-05,0.10493135452270508,0.5005
UTS03,taskvec_a0p25,16,layer_16,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,0.0137648805975914,0.009104221127927303,0.14017146825790405,0.558
UTS03,taskvec_a0p25,24,layer_24,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,0.006560325622558594,0.005385245196521282,0.11789882928133011,0.5305
UTS03,taskvec_a0p25,32,layer_32,"sweetaspie,againstthewind",wheretheressmoke,1000.0,307,281,16384,2000,2000,0.007862492464482784,0.0054739853367209435,0.11956234276294708,0.5305
