story,word_index,word,onset,offset,center
sweetaspie,0,I,0.780726,1.539002,1.159864
sweetaspie,1,EMBARKED,1.539002,2.516780,2.027891
sweetaspie,2,ON,2.626531,3.145351,2.885941
sweetaspie,3,A,3.145351,3.255102,3.200227
sweetaspie,4,JOURNEY,3.255102,3.833787,3.544444
sweetaspie,5,TOWARD,3.833787,4.143084,3.988435
sweetaspie,6,THE,4.143084,4.212925,4.178005
sweetaspie,7,SEA,4.212925,4.731746,4.472336
sweetaspie,8,OF,4.731746,4.851474,4.791610
sweetaspie,9,MATRIMONY,4.851474,6.018821,5.435147
sweetaspie,10,AT,6.018821,6.258277,6.138549
sweetaspie,11,THE,6.258277,6.348073,6.303175
sweetaspie,12,PERILOUS,6.348073,7.196145,6.772109
sweetaspie,13,AGE,7.236054,7.884580,7.560317
sweetaspie,14,OF,7.994331,8.203855,8.099093
sweetaspie,15,FORTY,8.333560,8.782540,8.558050
sweetaspie,16,ONE,8.782540,9.191610,8.987075
sweetaspie,17,YEAH,11.266893,11.466440,11.366667
sweetaspie,18,YOU'D,11.466440,11.606122,11.536281
sweetaspie,19,THINK,11.606122,11.935374,11.770748
sweetaspie,20,FORTY,11.935374,12.543991,12.239683
sweetaspie,21,ONE,12.543991,13.197082,12.870536
sweetaspie,22,A,13.405891,13.531746,13.468819
sweetaspie,23,TRIP,13.531746,14.000680,13.766213
sweetaspie,24,TO,14.150340,14.270068,14.210204
sweetaspie,25,MARRIAGE,14.270068,14.978458,14.624263
sweetaspie,26,WOULD,14.978458,15.148073,15.063265
sweetaspie,27,BE,15.148073,15.377551,15.262812
sweetaspie,28,PRETTY,15.377551,15.726757,15.552154
sweetaspie,29,SMOOTH,15.726757,16.495011,16.110884
sweetaspie,30,BUT,16.495011,16.824263,16.659637
sweetaspie,31,NOBODY,16.824263,17.522676,17.173469
sweetaspie,32,HAD,17.522676,17.722222,17.622449
sweetaspie,33,TOLD,17.722222,18.071429,17.896825
sweetaspie,34,MY,18.071429,18.251020,18.161224
sweetaspie,35,FAMILY,18.251020,18.959410,18.605215
sweetaspie,36,MY,20.336281,20.535828,20.436054
sweetaspie,37,SISTER,20.535828,20.934921,20.735374
sweetaspie,38,CALLED,20.934921,21.254195,21.094558
sweetaspie,39,ME,21.254195,21.453741,21.353968
sweetaspie,40,UP,21.453741,21.623356,21.538549
sweetaspie,41,AND,21.623356,21.773016,21.698186
sweetaspie,42,SHE,21.773016,22.042404,21.907710
sweetaspie,43,SAID,22.042404,22.371655,22.207029
sweetaspie,44,YOU,22.371655,22.621088,22.496372
sweetaspie,45,HAVE,22.621088,22.940363,22.780726
sweetaspie,46,TO,23.020181,23.149887,23.085034
sweetaspie,47,ORDER,23.169841,23.668707,23.419274
sweetaspie,48,ENGRAVED,23.668707,24.367120,24.017914
sweetaspie,49,INVITATIONS,24.367120,25.225170,24.796145
sweetaspie,50,I,26.192971,26.292744,26.242857
sweetaspie,51,SAID,26.292744,26.631973,26.462358
sweetaspie,52,I,26.631973,26.721769,26.676871
sweetaspie,53,DON'T,26.721769,26.871429,26.796599
sweetaspie,54,THINK,26.871429,27.210658,27.041043
sweetaspie,55,SO,27.210658,27.500000,27.355329
sweetaspie,56,WE'RE,27.500000,27.589796,27.544898
sweetaspie,57,HAVING,27.589796,27.919048,27.754422
sweetaspie,58,A,27.919048,27.948980,27.934014
sweetaspie,59,POTLUCK,27.948980,28.622490,28.285735
sweetaspie,60,SHE,31.051927,31.291383,31.171655
sweetaspie,61,CALLED,31.291383,31.692826,31.492105
sweetaspie,62,AGAIN,31.692826,32.269161,31.980993
sweetaspie,63,PEOPLE,32.588435,32.977551,32.782993
