subset,kind,subject,story,relative_path,size_bytes,size_gb,size_gib,evidence
highdata,wav,,adollshouse,stimuli/adollshouse.wav,88827180,0.0888,0.0827,annex_symlink
highdata,textgrid,,adollshouse,derivatives/TextGrids/adollshouse.TextGrid,872355,0.0009,0.0008,annex_symlink
highdata,hf5,UTS01,adollshouse,derivatives/preprocessed_data/UTS01/adollshouse.hf5,156412976,0.1564,0.1457,annex_symlink
highdata,hf5,UTS02,adollshouse,derivatives/preprocessed_data/UTS02/adollshouse.hf5,181717976,0.1817,0.1692,annex_symlink
highdata,hf5,UTS03,adollshouse,derivatives/preprocessed_data/UTS03/adollshouse.hf5,184234016,0.1842,0.1716,annex_symlink
highdata,wav,,adventuresinsayingyes,stimuli/adventuresinsayingyes.wav,141752138,0.1418,0.1320,annex_symlink
highdata,textgrid,,adventuresinsayingyes,derivatives/TextGrids/adventuresinsayingyes.TextGrid,1245096,0.0012,0.0012,annex_symlink
highdata,hf5,UTS01,adventuresinsayingyes,derivatives/preprocessed_data/UTS01/adventuresinsayingyes.hf5,253764176,0.2538,0.2363,annex_symlink
highdata,hf5,UTS02,adventuresinsayingyes,derivatives/preprocessed_data/UTS02/adventuresinsayingyes.hf5,294819176,0.2948,0.2746,annex_symlink
highdata,hf5,UTS03,adventuresinsayingyes,derivatives/preprocessed_data/UTS03/adventuresinsayingyes.hf5,298901216,0.2989,0.2784,annex_symlink
highdata,wav,,afatherscover,stimuli/afatherscover.wav,113879644,0.1139,0.1061,annex_symlink
highdata,textgrid,,afatherscover,derivatives/TextGrids/afatherscover.TextGrid,682088,0.0007,0.0006,annex_symlink
highdata,hf5,UTS01,afatherscover,derivatives/preprocessed_data/UTS01/afatherscover.hf5,202492544,0.2025,0.1886,annex_symlink
highdata,hf5,UTS02,afatherscover,derivatives/preprocessed_data/UTS02/afatherscover.hf5,235252544,0.2353,0.2191,annex_symlink
highdata,hf5,UTS03,afatherscover,derivatives/preprocessed_data/UTS03/afatherscover.hf5,238509824,0.2385,0.2221,annex_symlink
