arm,concept_index,concept,mid_layer_start,mid_layer_end,top1_count,top1_share,top5_count,top5_share,csls_top1_count,csls_top1_share,csls_top5_count,csls_top5_share
base,100,file,10,20,622,0.07362689393939394,1140,0.026988636363636364,581,0.06877367424242424,972,0.023011363636363635
base,125,spear,10,20,475,0.05622632575757576,705,0.016690340909090908,475,0.05622632575757576,775,0.01834753787878788
base,47,brussels sprouts,10,20,427,0.050544507575757576,1454,0.034422348484848486,485,0.05741003787878788,1386,0.0328125
base,99,fig,10,20,393,0.04651988636363636,1084,0.025662878787878787,361,0.042732007575757576,1011,0.02393465909090909
base,50,burrito,10,20,371,0.043915719696969696,982,0.02324810606060606,227,0.026870265151515152,792,0.01875
base,77,chisel,10,20,319,0.037760416666666664,1234,0.02921401515151515,410,0.04853219696969697,1198,0.028361742424242425
base,14,bagpipe,10,20,295,0.034919507575757576,604,0.014299242424242424,213,0.02521306818181818,676,0.016003787878787878
base,118,pelican,10,20,291,0.03444602272727273,769,0.018205492424242423,318,0.037642045454545456,850,0.02012310606060606
base,34,bison,10,20,280,0.03314393939393939,1211,0.028669507575757577,219,0.025923295454545456,1149,0.027201704545454546
base,10,asparagus,10,20,268,0.03172348484848485,1042,0.024668560606060607,257,0.030421401515151516,1123,0.02658617424242424
base,20,bassoon,10,20,256,0.030303030303030304,463,0.010961174242424243,256,0.030303030303030304,449,0.010629734848484848
base,36,blender,10,20,246,0.02911931818181818,478,0.011316287878787879,159,0.018821022727272728,361,0.008546401515151516
base,39,blueberry,10,20,227,0.026870265151515152,323,0.007646780303030303,190,0.022490530303030304,398,0.009422348484848485
base,51,bus,10,20,205,0.024266098484848484,737,0.017447916666666667,164,0.019412878787878788,720,0.017045454545454544
base,6,antelope,10,20,203,0.02402935606060606,787,0.018631628787878787,267,0.03160511363636364,792,0.01875
base,69,celery,10,20,200,0.023674242424242424,920,0.021780303030303032,153,0.018110795454545456,938,0.022206439393939393
base,38,blowtorch,10,20,183,0.02166193181818182,827,0.019578598484848483,152,0.017992424242424244,758,0.017945075757575757
base,88,crowbar,10,20,177,0.020951704545454544,1142,0.027035984848484847,155,0.01834753787878788,1052,0.02490530303030303
base,127,tumbleweed,10,20,167,0.019767992424242424,606,0.01434659090909091,137,0.01621685606060606,515,0.012192234848484848
base,22,bazooka,10,20,149,0.017637310606060608,856,0.020265151515151514,211,0.024976325757575756,890,0.021070075757575756
base,23,bean,10,20,142,0.01680871212121212,933,0.02208806818181818,120,0.014204545454545454,901,0.021330492424242425
base,103,fruit,10,20,137,0.01621685606060606,349,0.008262310606060606,175,0.02071496212121212,423,0.010014204545454545
base,109,jeans,10,20,132,0.015625,642,0.015198863636363637,112,0.013257575757575758,723,0.017116477272727273
base,30,bell,10,20,129,0.015269886363636364,297,0.00703125,113,0.01337594696969697,340,0.008049242424242424
base,45,broccoli,10,20,129,0.015269886363636364,540,0.01278409090909091,113,0.01337594696969697,610,0.014441287878787878
base,56,camel,10,20,126,0.014914772727272728,655,0.015506628787878788,73,0.008641098484848484,653,0.015459280303030303
base,40,boa,10,20,125,0.014796401515151516,129,0.003053977272727273,99,0.01171875,129,0.003053977272727273
base,43,bra,10,20,124,0.014678030303030304,350,0.008285984848484848,90,0.01065340909090909,290,0.006865530303030303
base,16,banana,10,20,116,0.013731060606060606,433,0.010250946969696969,100,0.011837121212121212,486,0.011505681818181818
base,28,beet,10,20,113,0.01337594696969697,1032,0.024431818181818183,133,0.015743371212121212,1126,0.02665719696969697
base,75,chili,10,20,112,0.013257575757575758,273,0.006463068181818182,59,0.006983901515151515,274,0.006486742424242424
base,11,avocado,10,20,98,0.011600378787878788,467,0.011055871212121211,115,0.013612689393939394,462,0.0109375
base,24,bear,10,20,98,0.011600378787878788,666,0.015767045454545454,91,0.010771780303030304,641,0.015175189393939394
base,21,bat,10,20,76,0.008996212121212122,196,0.0046401515151515155,77,0.009114583333333334,181,0.004285037878787879
base,123,sled,10,20,76,0.008996212121212122,463,0.010961174242424243,47,0.00556344696969697,245,0.005800189393939394
base,96,earwig,10,20,74,0.008759469696969696,674,0.015956439393939394,44,0.005208333333333333,436,0.010321969696969698
base,82,coconut,10,20,67,0.007930871212121212,491,0.01162405303030303,75,0.00887784090909091,481,0.011387310606060606
base,76,chinchilla,10,20,65,0.007694128787878788,328,0.007765151515151515,87,0.010298295454545454,278,0.006581439393939394
base,71,cheese,10,20,56,0.006628787878787879,457,0.010819128787878787,87,0.010298295454545454,427,0.010108901515151515
base,85,costume,10,20,55,0.006510416666666667,142,0.003361742424242424,31,0.003669507575757576,142,0.003361742424242424
base,92,drill,10,20,53,0.006273674242424242,270,0.006392045454545455,34,0.004024621212121212,236,0.0055871212121212125
base,4,ant,10,20,51,0.006036931818181818,253,0.005989583333333334,18,0.002130681818181818,135,0.0031960227272727275
base,35,blackberry,10,20,51,0.006036931818181818,121,0.002864583333333333,50,0.005918560606060606,172,0.004071969696969697
base,122,skateboard,10,20,51,0.006036931818181818,346,0.00819128787878788,39,0.004616477272727273,232,0.005492424242424242
base,37,blouse,10,20,48,0.005681818181818182,460,0.010890151515151516,80,0.00946969696969697,365,0.008641098484848484
base,81,cockroach,10,20,34,0.004024621212121212,340,0.008049242424242424,43,0.005089962121212121,233,0.005516098484848485
base,83,corkscrew,10,20,34,0.004024621212121212,317,0.007504734848484848,33,0.00390625,330,0.0078125
base,31,belt,10,20,33,0.00390625,837,0.019815340909090907,49,0.005800189393939394,739,0.01749526515151515
base,70,cello,10,20,33,0.00390625,345,0.008167613636363636,37,0.004379734848484848,279,0.006605113636363636
base,60,candy,10,20,26,0.003077651515151515,215,0.005089962121212121,67,0.007930871212121212,244,0.005776515151515151
base,1,acorn,10,20,25,0.002959280303030303,304,0.007196969696969697,22,0.0026041666666666665,240,0.005681818181818182
base,115,pants,10,20,21,0.0024857954545454545,451,0.010677083333333334,28,0.0033143939393939395,522,0.012357954545454545
base,13,bagel,10,20,20,0.0023674242424242425,182,0.004308712121212121,10,0.0011837121212121212,118,0.0027935606060606063
base,61,cannon,10,20,20,0.0023674242424242425,944,0.02234848484848485,44,0.005208333333333333,843,0.019957386363636365
base,41,boar,10,20,16,0.001893939393939394,441,0.01044034090909091,45,0.005326704545454545,344,0.008143939393939394
base,46,brownie,10,20,13,0.0015388257575757575,297,0.00703125,27,0.0031960227272727275,309,0.007315340909090909
base,102,fly,10,20,11,0.0013020833333333333,68,0.0016098484848484848,14,0.0016571969696969697,75,0.0017755681818181818
base,104,gong,10,20,10,0.0011837121212121212,149,0.0035274621212121214,15,0.0017755681818181818,161,0.00381155303030303
base,80,coat,10,20,8,0.000946969696969697,127,0.0030066287878787877,12,0.0014204545454545455,161,0.00381155303030303
base,93,drum,10,20,8,0.000946969696969697,157,0.0037168560606060607,24,0.002840909090909091,123,0.0029119318181818183
base,106,grenade,10,20,8,0.000946969696969697,141,0.0033380681818181816,30,0.0035511363636363635,174,0.0041193181818181815
base,15,bamboo,10,20,7,0.0008285984848484849,96,0.0022727272727272726,18,0.002130681818181818,116,0.002746212121212121
base,64,carrot,10,20,7,0.0008285984848484849,208,0.004924242424242424,21,0.0024857954545454545,229,0.005421401515151515
base,117,peacock,10,20,7,0.0008285984848484849,159,0.0037642045454545454,27,0.0031960227272727275,195,0.004616477272727273
base,86,cranberry,10,20,6,0.0007102272727272727,157,0.0037168560606060607,12,0.0014204545454545455,157,0.0037168560606060607
base,2,airplane,10,20,5,0.0005918560606060606,143,0.0033854166666666668,18,0.002130681818181818,153,0.003622159090909091
base,8,apple,10,20,4,0.0004734848484848485,46,0.0010890151515151516,16,0.001893939393939394,84,0.0019886363636363634
base,53,cabbage,10,20,4,0.0004734848484848485,169,0.0040009469696969694,12,0.0014204545454545455,229,0.005421401515151515
base,97,eggbeater,10,20,4,0.0004734848484848485,458,0.01084280303030303,17,0.002012310606060606,577,0.01366003787878788
base,108,hat,10,20,3,0.0003551136363636364,62,0.0014678030303030302,14,0.0016571969696969697,142,0.003361742424242424
base,110,jeep,10,20,3,0.0003551136363636364,172,0.004071969696969697,10,0.0011837121212121212,226,0.005350378787878788
base,111,missile,10,20,3,0.0003551136363636364,193,0.004569128787878788,4,0.0004734848484848485,126,0.0029829545454545456
base,3,aloe,10,20,2,0.00023674242424242425,148,0.003503787878787879,8,0.000946969696969697,215,0.005089962121212121
base,17,banjo,10,20,2,0.00023674242424242425,35,0.0008285984848484849,6,0.0007102272727272727,81,0.0019176136363636364
