arm,layer,layer_name,query_format,candidate_format,n_concepts,top1_accuracy,top5_accuracy,top1_unique_fraction,top1_max_occurrence,top1_gini,top1_entropy_norm,top5_unique_fraction,top5_max_occurrence,top_hub_concept
base,0,embedding,triplet,pairwise,128,0.0078125,0.0390625,0.0078125,128,0.9921875,-0.0,0.0390625,128,accordion
base,0,embedding,triplet,feature_listing,128,0.0078125,0.0390625,0.0078125,128,0.9921875,-0.0,0.0390625,128,accordion
base,0,embedding,pairwise,triplet,128,0.0078125,0.0390625,0.0078125,128,0.9921875,-0.0,0.0390625,128,accordion
base,0,embedding,pairwise,feature_listing,128,0.0078125,0.0390625,0.0078125,128,0.9921875,-0.0,0.0390625,128,accordion
base,0,embedding,feature_listing,triplet,128,0.0078125,0.0390625,0.0078125,128,0.9921875,-0.0,0.0390625,128,accordion
base,0,embedding,feature_listing,pairwise,128,0.0078125,0.0390625,0.0078125,128,0.9921875,-0.0,0.0390625,128,accordion
base,1,layer_1,triplet,pairwise,128,0.0234375,0.234375,0.0546875,116,0.988525390625,0.09427924616651968,0.3203125,127,parrot
base,1,layer_1,triplet,feature_listing,128,0.0234375,0.109375,0.0546875,85,0.983642578125,0.20458886171377028,0.1328125,128,brussels sprouts
base,1,layer_1,pairwise,triplet,128,0.0078125,0.046875,0.015625,125,0.9918212890625,0.02290410369986122,0.0546875,128,slingshot
base,1,layer_1,pairwise,feature_listing,128,0.0078125,0.0390625,0.0078125,128,0.9921875,-0.0,0.0546875,128,brussels sprouts
base,1,layer_1,feature_listing,triplet,128,0.0078125,0.0546875,0.046875,111,0.98828125,0.11527959131937213,0.09375,127,bee
base,1,layer_1,feature_listing,pairwise,128,0.015625,0.1015625,0.015625,127,0.9920654296875,0.0094163446204631,0.125,128,parrot
base,2,layer_2,triplet,pairwise,128,0.0546875,0.1875,0.0703125,68,0.9788818359375,0.25518535489564914,0.21875,126,parrot
base,2,layer_2,triplet,feature_listing,128,0.015625,0.15625,0.046875,98,0.98583984375,0.1668309199797705,0.2265625,112,brussels sprouts
base,2,layer_2,pairwise,triplet,128,0.0078125,0.0546875,0.0078125,128,0.9921875,-0.0,0.0546875,128,brussels sprouts
base,2,layer_2,pairwise,feature_listing,128,0.0078125,0.0390625,0.0078125,128,0.9921875,-0.0,0.046875,128,brussels sprouts
base,2,layer_2,feature_listing,triplet,128,0.0078125,0.0703125,0.015625,126,0.991943359375,0.016587867900681386,0.109375,128,crow
base,2,layer_2,feature_listing,pairwise,128,0.015625,0.0625,0.0234375,126,0.9918212890625,0.018820010757824246,0.0625,128,gun
base,3,layer_3,triplet,pairwise,128,0.0234375,0.171875,0.0234375,97,0.98828125,0.1212072951334744,0.203125,128,parrot
base,3,layer_3,triplet,feature_listing,128,0.0390625,0.3125,0.0703125,72,0.97607421875,0.2780826173638016,0.34375,110,brussels sprouts
base,3,layer_3,pairwise,triplet,128,0.0078125,0.0625,0.0078125,128,0.9921875,-0.0,0.0625,128,brussels sprouts
