arm,layer,layer_name,format_a,format_b,control_type,n_concepts,matched_score,matched_ci_low,matched_ci_high,control_score,control_ci_low,control_ci_high,paired_delta,ci_low,ci_high,p_perm_greater,retrieval_top1,retrieval_top5,retrieval_margin
base,0,embedding,triplet,pairwise,random,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,triplet,pairwise,close_neighbor,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,triplet,pairwise,far_neighbor,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,triplet,pairwise,lexical,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,triplet,pairwise,category_proxy,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,triplet,feature_listing,random,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,triplet,feature_listing,close_neighbor,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,triplet,feature_listing,far_neighbor,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,triplet,feature_listing,lexical,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,triplet,feature_listing,category_proxy,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,pairwise,feature_listing,random,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,pairwise,feature_listing,close_neighbor,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,pairwise,feature_listing,far_neighbor,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
