arm,layer,layer_name,format_a,format_b,n_concepts,same_similarity,same_similarity_ci_low,same_similarity_ci_high,random_similarity,random_similarity_ci_low,random_similarity_ci_high,close_neighbor_similarity,close_neighbor_similarity_ci_low,close_neighbor_similarity_ci_high,far_neighbor_similarity,far_neighbor_similarity_ci_low,far_neighbor_similarity_ci_high,same_minus_random,same_minus_random_ci_low,same_minus_random_ci_high,same_minus_close_neighbor,same_minus_close_neighbor_ci_low,same_minus_close_neighbor_ci_high,same_minus_far_neighbor,same_minus_far_neighbor_ci_low,same_minus_far_neighbor_ci_high,retrieval_top1,retrieval_top5,retrieval_margin
base,0,embedding,triplet,pairwise,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,-5.960464477539063e-08,-5.960464477539063e-08,-5.960464477539063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0390625,0.0
base,0,embedding,triplet,feature_listing,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,-5.960464477539063e-08,-5.960464477539063e-08,-5.960464477539063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0390625,0.0
base,0,embedding,pairwise,feature_listing,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,-5.960464477539063e-08,-5.960464477539063e-08,-5.960464477539063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0390625,0.0
base,0,embedding,__mean__,__mean__,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,-5.960464477539063e-08,-5.960464477539063e-08,-5.960464477539063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0390625,0.0
base,1,layer_1,triplet,pairwise,128,0.9511394924484193,0.9506686768610961,0.9516167331719771,0.9502265979535878,0.9497931498568505,0.9506881957291625,0.9509446392767131,0.9505245256004855,0.9513989211176522,0.9506313046440482,0.9502903422922827,0.9509580540121533,0.000912894494831562,0.0007693945663049817,0.0010560569586232304,0.00019485317170619965,-2.539539709687233e-05,0.00041317256400361655,0.0005081878043711185,0.00021112250396981835,0.0007953976513817906,0.015625,0.140625,-0.0047533775214105844
base,1,layer_1,triplet,feature_listing,128,0.984488520771265,0.9842220576130785,0.9847333385841921,0.9839756577275693,0.983628058701288,0.984315547789447,0.9841563734225929,0.9838995314901695,0.984410185762681,0.9835395929403603,0.9833616850082763,0.9837239070213399,0.0005128630436956882,0.00038354838034138083,0.0006564398296177386,0.00033214734867215157,0.00019481700146570802,0.00048799049109220504,0.0009489278309047222,0.0007467545568943023,0.0011469950433820487,0.015625,0.08203125,-0.0018904833123087883
base,1,layer_1,pairwise,feature_listing,128,0.9349440867081285,0.9345598818385042,0.9353524310979993,0.9347001300193369,0.9345244477735832,0.9348778564250096,0.9348839144222438,0.9346204634988681,0.9351779306656681,0.9348539910279214,0.9345753556466662,0.9351467817206867,0.00024395668879151344,-0.00010158234508708119,0.0006252693943679333,6.017228588461876e-05,-0.0001775260432623327,0.00031858013244345773,9.009568020701408e-05,-0.0002385020605288446,0.00042228817474097,0.01171875,0.0703125,-0.0049450884107500315
base,1,layer_1,__mean__,__mean__,128,0.9568573666426042,0.9564835387708929,0.9572341676180561,0.956300795233498,0.9559818854439072,0.9566271999812064,0.95666164237385,0.956348173529841,0.9569956791820005,0.9563416295374433,0.9560757943157417,0.95660958091806,0.0005565714091062546,0.0003504535338530938,0.0007792553942029674,0.00019572426875432333,-2.701479631165667e-06,0.0004065810625130931,0.0005157371051609516,0.00023979166677842536,0.0007882269565016031,0.014322916666666666,0.09765625,-0.0038629830814898014
base,2,layer_2,triplet,pairwise,128,0.918864747043699,0.9180652781389653,0.9197066280525178,0.9178672158159316,0.917001975805033,0.9188335371669382,0.9187217857688665,0.9180443864082918,0.9194045850890689,0.9183057812042534,0.917739697243087,0.9188834757194855,0.0009975312277674675,0.0007912364788353443,0.0011927105602808296,0.0001429612748324871,-0.0002348087611608207,0.0005245331674814223,0.000558965839445591,6.936235586181284e-05,0.0010637530940584838,0.03125,0.12109375,-0.008206675760447979
base,2,layer_2,triplet,feature_listing,128,0.9727342524565756,0.9724270306411199,0.9730202738661319,0.9719961658120155,0.9716359609621577,0.9723775234073401,0.972343759611249,0.9720765030593611,0.9726018237066455,0.9715507631190121,0.9713446221197956,0.9717676345724613,0.0007380866445600986,0.0005653529893606901,0.0009282579529099166,0.00039049284532666206,0.00024418331449851396,0.0005497801583260297,0.0011834893375635147,0.0009768903139047325,0.0014125890797004105,0.01171875,0.11328125,-0.0022363848984241486
base,2,layer_2,pairwise,feature_listing,128,0.8959775315597653,0.8956006864085794,0.8963380156783387,0.8956977310590446,0.8954594322945922,0.8959407440852374,0.8959449054673314,0.8957104113535024,0.8961915662395767,0.8955589137040079,0.895267570822034,0.8958530197967776,0.00027980050072073936,-0.00013910840498283507,0.0007267815526574848,3.262609243392944e-05,-0.00025409930385649203,0.00032904285471886387,0.0004186178557574749,0.00010327351046726108,0.0007312142639420927,0.01171875,0.05078125,-0.006673343945294619
base,2,layer_2,__mean__,__mean__,128,0.9291921770200133,0.9286976650628881,0.9296883058656628,0.9285203708956639,0.9280324563539276,0.9290506015531719,0.9290034836158156,0.9286104336070519,0.9293993250117637,0.9284718193424245,0.9281172967283055,0.9288347100295749,0.0006718061243494352,0.0004058270210710665,0.0009492500219494103,0.00018869340419769287,-8.157491683959959e-05,0.00046778539350877203,0.0007203576775888602,0.00038317539341126876,0.0010691854792336624,0.018229166666666668,0.09505208333333333,-0.005705468201388915
base,3,layer_3,triplet,pairwise,128,0.9357516095042229,0.9352145739132538,0.9363472226425074,0.9350723270326853,0.9344637933885679,0.9356327468063682,0.9356338921934366,0.9351036527426914,0.9361389221972786,0.9354925868101418,0.9350664176163264,0.9359040495939552,0.00067928247153759,0.0005680143367499113,0.0008035890175960958,0.00011771731078624725,-0.0001598506816662848,0.00036608189111575484,0.00025902269408106804,-0.00012173256836831569,0.000663938233628869,0.015625,0.1171875,-0.006018300773575902
base,3,layer_3,triplet,feature_listing,128,0.9730631983838975,0.9728581510484219,0.9732585489633493,0.9724804949946702,0.9722396415891126,0.9727078297990375,0.9727713060565293,0.9725828961352818,0.9729576862417162,0.9722422906197608,0.9720951710594818,0.972378586337436,0.0005827033892273903,0.0004865917726419866,0.0006969942129217088,0.00029189232736825943,0.00018027254845947026,0.00040277711814269425,0.0008209077641367912,0.0006600516033358872,0.0009895042167045176,0.03125,0.19140625,-0.0014948525931686163
base,3,layer_3,pairwise,feature_listing,128,0.9140783031471074,0.9138530729105696,0.9142960733617655,0.9138149912469089,0.9137019327841699,0.9139242368051782,0.9140426721423864,0.9138812234508805,0.9142095769639127,0.9136963286437094,0.9135334682883695,0.9138623699196614,0.0002633119001984596,3.4830241929739714e-05,0.0004873067722655832,3.5631004720926285e-05,-0.00012270843144506215,0.00020303073106333607,0.0003819745033979416,0.0002042443142272532,0.0005472191027365624,0.0078125,0.05859375,-0.003913710126653314
